Protein,NAME,mean
eucgr.k01362.1.p,'PS.lightreaction.photosystem I.LHC-I',108.610258376852
eucgr.k02198.1.p,'protein.degradation.serine protease',45.2161979008954
eucgr.k02223.1.p,'PS.calvin cycle.rubisco small subunit',131.587819957215
eucgr.k02606.1.p,'redox.peroxiredoxin.BAS1',188.456652517556
eucgr.k02786.1.p,'protein.synthesis.elongation',55.7258376729826
eucgr.k02983.1.p,'PS.lightreaction.photosystem II.LHC-II',126.203009067612
eucgr.l00271.3.p,'transport.H+ transporting pyrophosphatase',44.3403329116586
eucgr.l02144.1.p,"'DNA.synthesis/chromatin structure.histone.core.H2A', 'DNA.synthesis/chromatin structure.histone.core.H2B'",43.8809792119368
eucgr.l02773.1.p,'amino acid metabolism.degradation.serine-glycine-cysteine group.glycine',119.852520825596
sp|p05492|atpam_oenbi,'mitochondrial electron transport / ATP synthesis.F1-ATPase',83.721877777266
tr|q7m2g6|q7m2g6_oenvi,'mitochondrial electron transport / ATP synthesis.F1-ATPase',63.3556151235994
tr|t1qke2|t1qke2_eucgl,'PS.lightreaction.photosystem II.PSII polypeptide subunits',231.598117258108
tr|t1qkk1|t1qkk1_eucgl,'PS.lightreaction.photosystem II.PSII polypeptide subunits',345.485393998403
tr|t1qkk4|t1qkk4_eucgl,'PS.calvin cycle.rubisco large subunit',2960.58812149423
tr|t1qkm1|t1qkm1_eucgl,'PS.lightreaction.cytochrome b6/f.apocytochrome f (CYF)',92.115854676184
tr|t1ql58|t1ql58_eucgl,'PS.lightreaction.photosystem II.PSII polypeptide subunits',187.99813195255
tr|t1ql63|t1ql63_eucgl,'PS.lightreaction.ATP synthase.alpha subunit',608.668089547215
tr|t1ql72|t1ql72_eucgl,'PS.lightreaction.photosystem II.PSII polypeptide subunits',316.005450326632
tr|t1ql77|t1ql77_eucgl,'PS.lightreaction.photosystem I.PSI polypeptide subunits',187.525172205744
tr|t1qlb6|t1qlb6_eucgl,'PS.lightreaction.photosystem I.PSI polypeptide subunits',155.143526330829
tr|t1qld1|t1qld1_eucgl,'PS.lightreaction.cytochrome b6/f.cytochrome b6 (CYB6)',42.1420485634479
tr|t1qlq3|t1qlq3_eucgl,'PS.lightreaction.ATP synthase.beta subunit',558.652079725293
