Protein,BINCODE,NAME,mean
eucgr.a01368.2.p,_13.1.6.5.4_,'amino acid metabolism.synthesis.aromatic aa.tryptophan.indole-3-glycerol phosphate synthase',6.25646551172555e-12
eucgr.a01377.1.p,_29.5.1_,'protein.degradation.subtilases',2.56683177244798e-11
eucgr.a01380.1.p,_29.5.1_,'protein.degradation.subtilases',9.53940055846034e-12
eucgr.a01389.1.p,"_16.2.1.9_, _26.6_","'secondary metabolism.phenylpropanoids.lignin biosynthesis.COMT', 'misc.O-methyl transferases'",1.16052070730192e-12
eucgr.a01392.1.p,"_16.2.1.9_, _26.6_","'secondary metabolism.phenylpropanoids.lignin biosynthesis.COMT', 'misc.O-methyl transferases'",5.86901690053776e-12
eucgr.a01395.1.p,"_16.2.1.9_, _26.6_","'secondary metabolism.phenylpropanoids.lignin biosynthesis.COMT', 'misc.O-methyl transferases'",3.78647143403747e-12
eucgr.a01397.1.p,_16.2.1.9_,'secondary metabolism.phenylpropanoids.lignin biosynthesis.COMT',9.27221808900207e-12
eucgr.a01406.1.p,_29.2.1.1.1.1.530_,'protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S30A',2.02460269557787e-12
eucgr.a01423.1.p,_3.5_,'minor CHO metabolism.others',2.85280690398334e-12
eucgr.a01425.1.p,_7.1.2_,'OPP.oxidative PP.6-phosphogluconolactonase',2.55073790779339e-12
eucgr.a01428.1.p,_21.99_,'redox.misc',2.67005763337078e-12
eucgr.a01460.1.p,_31.1_,'cell.organisation',1.54286087188479e-12
eucgr.a01496.2.p,_29.5.7_,'protein.degradation.metalloprotease',3.49110155684592e-12
eucgr.a01533.1.p,_2.1.2.3_,'major CHO metabolism.synthesis.starch.starch branching',6.96237181263041e-12
eucgr.a01538.1.p,"_1.3.6_, _4.1.10_, _4.3.10_","'PS.calvin cycle.aldolase', 'glycolysis.cytosolic branch.aldolase', 'glycolysis.unclear/dually targeted.aldolase'",6.3477097440593e-11
eucgr.a01555.1.p,_21.5_,'redox.peroxiredoxin',2.20043594236286e-10
eucgr.a01600.2.p,_26.6_,'misc.O-methyl transferases',4.83041392808314e-12
eucgr.a01642.1.p,_8.3_,'TCA / org transformation.carbonic anhydrases',4.77462591486073e-12
eucgr.a01649.1.p,_35.2_,'not assigned.unknown',7.99308794307297e-12
eucgr.a01688.1.p,_35.2_,'not assigned.unknown',1.37787139256855e-12
eucgr.a01711.1.p,_29.2.1.1.1.2.6_,'protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L6',1.03433526832647e-11
eucgr.a01732.1.p,_30.2.99_,'signalling.receptor kinases.misc',4.04660935774532e-12
eucgr.a01734.1.p,_2.2.2.1.2_,'major CHO metabolism.degradation.starch.starch cleavage.beta amylase',4.83010960034781e-13
eucgr.a01769.1.p,_1.1.3_,'PS.lightreaction.cytochrome b6/f',3.59635726533888e-10
eucgr.a01774.1.p,_29.3_,'protein.targeting',1.88906231915285e-11
eucgr.a01781.3.p,_25_,'C1-metabolism',6.38745776411894e-12
eucgr.a01783.1.p,_16.1.2.7_,'secondary metabolism.isoprenoids.mevalonate pathway.isopentenyl pyrophosphate:dimethyllallyl pyrophosphate isomerase',4.42222701556427e-12
eucgr.a01801.1.p,_19.14_,'tetrapyrrole synthesis.protochlorophyllide reductase',3.01047050432411e-12
eucgr.a01802.1.p,_26.1_,'misc.misc2',2.03472479166378e-12
eucgr.a01803.1.p,_26.1_,'misc.misc2',6.89191077138283e-12
eucgr.a01833.1.p,"_34.8_, _34.9_, _34.14_","'transport.metabolite transporters at the envelope membrane', 'transport.metabolite transporters at the mitochondrial membrane', 'transport.unspecified cations'",1.7099968797027e-11
eucgr.a01867.1.p,_26.6_,'misc.O-methyl transferases',1.75525279264881e-12
eucgr.a01869.1.p,"_9.1.1_, _31.3_","'mitochondrial electron transport / ATP synthesis.NADH-DH.complex I', 'cell.cycle'",5.79059221312107e-12
eucgr.a01873.1.p,_26.6_,'misc.O-methyl transferases',4.66855746800989e-13
eucgr.a01915.2.p,_4.1.15_,'glycolysis.cytosolic branch.phospho-enol-pyruvate carboxylase (PEPC)',1.09635221191544e-11
eucgr.a01923.1.p,_11.9.2_,'lipid metabolism.lipid degradation.lipases',1.56753178208236e-12
eucgr.a01927.2.p,_13.1.1.2.1_,'amino acid metabolism.synthesis.central amino acid metabolism.aspartate.aspartate aminotransferase',2.68930757261724e-12
eucgr.a01929.1.p,"_29.2.1.2.2.11_, _29.2.1.2.2.16_","'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L11', 'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L16'",1.8642357684451e-11
eucgr.a01933.1.p,_29.5.7_,'protein.degradation.metalloprotease',7.18673004629695e-11
eucgr.a01949.4.p,_20.2.1_,'stress.abiotic.heat',9.50162504154957e-13
eucgr.a01955.2.p,_6.1_,'gluconeogenesis / glyoxylate cycle.citrate synthase',1.81160781301849e-12
eucgr.a01959.2.p,_29.4_,'protein.postranslational modification',7.00906293865826e-13
eucgr.a01976.2.p,_23.1.3_,'nucleotide metabolism.synthesis.PRS-PP',2.54367022205717e-12
eucgr.a02018.1.p,_29.2.1.2.2.518_,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L18A',7.03781767710824e-12
eucgr.a02022.1.p,_16.1.3.1_,'secondary metabolism.isoprenoids.tocopherol biosynthesis.hydroxyphenylpyruvate dioxygenase',1.79927983353009e-12
eucgr.a02024.1.p,_16.1.3.1_,'secondary metabolism.isoprenoids.tocopherol biosynthesis.hydroxyphenylpyruvate dioxygenase',1.36986296587909e-12
eucgr.a02039.1.p,_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',7.5057312643766e-10
eucgr.a02042.1.p,_3.5_,'minor CHO metabolism.others',2.10034799864995e-11
eucgr.a02048.1.p,_34.16_,'transport.ABC transporters and multidrug resistance systems',7.74954430282184e-13
eucgr.a02072.2.p,_35.1.41_,'not assigned.no ontology.hydroxyproline rich proteins',3.93713998224665e-12
eucgr.a02095.1.p,_29.6_,'protein.folding',9.01852283291626e-12
eucgr.a02097.5.p,_12.3.1_,'N-metabolism.N-degradation.glutamate dehydrogenase',1.91047083832465e-11
eucgr.a02100.1.p,_29.3.3_,'protein.targeting.chloroplast',5.23452367078992e-12
eucgr.a02107.1.p,_21.6_,'redox.dismutases and catalases',4.11023630235026e-12
eucgr.a02108.1.p,_31.1.1.2_,'cell.organisation.cytoskeleton.mikrotubuli',6.10940375131743e-12
eucgr.a02112.2.p,_31.4_,'cell.vesicle transport',1.06985635283465e-12
eucgr.a02118.1.p,"_10.6.1_, _26.3_","'cell wall.degradation.cellulases and beta -1,4-glucanases', 'misc.gluco-, galacto- and mannosidases'",6.38992233662327e-13
eucgr.a02126.4.p,_13.1.3.4_,'amino acid metabolism.synthesis.aspartate family.methionine',1.28303000747851e-11
eucgr.a02140.1.p,_27.1_,'RNA.processing',8.97982420681748e-13
eucgr.a02177.1.p,_19.12_,'tetrapyrrole synthesis.magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase',9.97282627950109e-12
eucgr.a02178.2.p,_10.6.2_,'cell wall.degradation.mannan-xylose-arabinose-fucose',4.84542575017773e-12
eucgr.a02209.2.p,_29.5.5_,'protein.degradation.serine protease',5.54046474601783e-13
eucgr.a02215.1.p,_29.5.5_,'protein.degradation.serine protease',9.67525807584783e-13
eucgr.a02221.1.p,_29.5.5_,'protein.degradation.serine protease',1.23779678200064e-12
eucgr.a02225.1.p,_29.5.5_,'protein.degradation.serine protease',3.27124407882983e-12
eucgr.a02236.1.p,"_28.1_, _28.2_","'DNA.synthesis/chromatin structure', 'DNA.repair'",9.30403081059218e-13
eucgr.a02249.1.p,_12.2.1.1_,'N-metabolism.ammonia metabolism.glutamate synthase.ferredoxin dependent',8.28672298915892e-11
eucgr.a02261.5.p,_13.1.3.4.2_,'amino acid metabolism.synthesis.aspartate family.methionine.cystathionine beta-lyase',6.44356509965234e-13
eucgr.a02267.2.p,_21.2.1.5_,"'redox.ascorbate and glutathione.ascorbate.L-Galactono-1,4-lactone dehydrogenase'",2.99191956745987e-12
eucgr.a02291.1.p,_20.2.3_,'stress.abiotic.drought/salt',1.54117576305084e-12
eucgr.a02300.1.p,_26.13_,'misc.acid and other phosphatases',6.61169845658458e-13
eucgr.a02306.1.p,_29.2.3_,'protein.synthesis.initiation',4.2055705639719e-12
eucgr.a02321.1.p,"_16.8.4.2_, _26.2_","'secondary metabolism.flavonoids.flavonols.flavonol 3-O-glycosyltransferase', 'misc.UDP glucosyl and glucoronyl transferases'",8.52126253902851e-13
eucgr.a02337.1.p,_21.1_,'redox.thioredoxin',4.82689005643608e-12
eucgr.a02344.1.p,_31.1.1.1.3_,'cell.organisation.cytoskeleton.actin.actin binding',1.65806487942673e-12
eucgr.a02348.2.p,_19.10_,'tetrapyrrole synthesis.magnesium chelatase',1.13050853680429e-12
eucgr.a02359.1.p,_29.5.7_,'protein.degradation.metalloprotease',1.25842619946387e-12
eucgr.a02367.1.p,"_20_, _20.2.99_","'stress', 'stress.abiotic.unspecified'",1.00846747096537e-11
eucgr.a02370.1.p,_29.2.1.2.1.2_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S2',1.4908089855312e-11
eucgr.a02371.1.p,_29.2.1.2.1.2_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S2',8.32812135140886e-12
eucgr.a02374.1.p,_3.1.2.2_,'minor CHO metabolism.raffinose family.raffinose synthases.putative',3.2644879108964e-11
eucgr.a02376.2.p,_29.2.4_,'protein.synthesis.elongation',6.4895611543644e-12
eucgr.a02394.1.p,_23.1.2.20_,'nucleotide metabolism.synthesis.purine.adenylosuccinate synthase',4.41403319400672e-12
eucgr.a02437.1.p,_35.1.19_,'not assigned.no ontology.C2 domain-containing protein',1.54397364369563e-12
eucgr.a02439.3.p,_29.3.2_,'protein.targeting.mitochondria',1.1201235939768e-12
eucgr.a02447.1.p,_35.2_,'not assigned.unknown',4.23365540545747e-13
eucgr.a02448.1.p,_11.1.6_,'lipid metabolism.FA synthesis and FA elongation.enoyl ACP reductase',1.07914085146757e-11
eucgr.a02451.1.p,_35.2_,'not assigned.unknown',1.99622968871255e-11
eucgr.a02465.1.p,_35.1_,'not assigned.no ontology',1.66176055171199e-12
eucgr.a02519.2.p,_29.2.1.2.1.5_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S5',2.86910166717405e-11
eucgr.a02536.1.p,_26.7_,"'misc.oxidases - copper, flavone etc'",2.75880436356909e-12
eucgr.a02546.1.p,_16.1.4.8_,'secondary metabolism.isoprenoids.carotenoids.carotenoid isomerase',3.6958262095361e-13
eucgr.a02547.1.p,_2.1.1.2_,'major CHO metabolism.synthesis.sucrose.SPP',1.363327838974e-11
eucgr.a02564.1.p,_35.1_,'not assigned.no ontology',2.88853471233821e-12
eucgr.a02571.1.p,_27.4_,'RNA.RNA binding',6.82898126056328e-12
eucgr.a02588.2.p,_27.3.22_,"'RNA.regulation of transcription.HB,Homeobox transcription factor family'",1.7629841280609e-12
eucgr.a02596.2.p,_20.1_,'stress.biotic',1.48436638043548e-12
eucgr.a02597.1.p,"_20.1_, _33.99_","'stress.biotic', 'development.unspecified'",7.37709573563396e-13
eucgr.a02601.1.p,_29.5_,'protein.degradation',3.35196591827409e-12
eucgr.a02619.1.p,"_17.1.1.1.11_, _26.22_","'hormone metabolism.abscisic acid.synthesis-degradation.synthesis.short chain alcohol dehydrogenmase (ABA2)', 'misc.short chain dehydrogenase/reductase (SDR)'",7.62346894450477e-13
eucgr.a02656.1.p,_29.3.3_,'protein.targeting.chloroplast',7.09648936414772e-12
eucgr.a02662.1.p,_21.3_,'redox.heme',2.90716367634972e-12
eucgr.a02664.1.p,_31.2_,'cell.division',3.1188402114383e-12
eucgr.a02695.1.p,_26.2_,'misc.UDP glucosyl and glucoronyl transferases',1.48116623692345e-12
eucgr.a02714.1.p,_29.4_,'protein.postranslational modification',5.12357335091075e-12
eucgr.a02717.1.p,_9.1.2_,'mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear',6.83418776593321e-12
eucgr.a02734.2.p,_20.2.1_,'stress.abiotic.heat',4.97329473777941e-12
eucgr.a02753.1.p,_29.1.40_,'protein.aa activation.bifunctional aminoacyl-tRNA synthetase',3.15202805446665e-12
eucgr.a02763.1.p,_26.22_,'misc.short chain dehydrogenase/reductase (SDR)',1.29596167693404e-11
eucgr.a02764.1.p,_35.2_,'not assigned.unknown',2.23579038234993e-12
eucgr.a02775.1.p,_35.1_,'not assigned.no ontology',3.25764195631052e-13
eucgr.a02778.2.p,_29.5.5_,'protein.degradation.serine protease',7.1829458549906e-12
eucgr.a02790.1.p,_35.2_,'not assigned.unknown',1.34177771888875e-12
eucgr.a02792.2.p,_21.2_,'redox.ascorbate and glutathione',8.77227933570149e-12
eucgr.a02793.4.p,"_27.3.67_, _27.3.99_","'RNA.regulation of transcription.putative transcription regulator', 'RNA.regulation of transcription.unclassified'",2.04372575588887e-12
eucgr.a02801.1.p,_3.5_,'minor CHO metabolism.others',9.07554100762779e-12
eucgr.a02812.2.p,_13.1.3.5.2_,'amino acid metabolism.synthesis.aspartate family.lysine.dihydrodipicolinate reductase',9.66479822973826e-13
eucgr.a02836.1.p,_34.16_,'transport.ABC transporters and multidrug resistance systems',1.36418333373462e-12
eucgr.a02848.1.p,_2.2.1.1_,'major CHO metabolism.degradation.sucrose.fructokinase',2.18873497606262e-12
eucgr.a02865.1.p,_29.5_,'protein.degradation',4.31599882075908e-13
eucgr.a02874.1.p,_29.3.99_,'protein.targeting.unknown',2.06733493007996e-12
eucgr.a02888.1.p,_2.2.1.3.3_,'major CHO metabolism.degradation.sucrose.invertases.vacuolar',3.59555825285112e-12
eucgr.a02907.1.p,_26.7_,"'misc.oxidases - copper, flavone etc'",1.20392180876006e-12
eucgr.a02910.1.p,_26.7_,"'misc.oxidases - copper, flavone etc'",4.28236689209614e-12
eucgr.a02929.1.p,_29.4_,'protein.postranslational modification',2.39356710185161e-11
eucgr.a02930.1.p,_23.4.10_,'nucleotide metabolism.phosphotransfer and pyrophosphatases.nucleoside diphosphate kinase',9.64321648742903e-12
eucgr.a02940.3.p,_27.1.3.17_,'RNA.processing.3' end processing.PabN',5.62792605504108e-13
eucgr.a02951.4.p,_29.3.3_,'protein.targeting.chloroplast',2.90071521515259e-12
eucgr.a02966.1.p,_29.3.1_,'protein.targeting.nucleus',3.6372005193101e-12
eucgr.a02971.2.p,_31.4_,'cell.vesicle transport',1.04935252235601e-12
eucgr.a02974.1.p,_27.4_,'RNA.RNA binding',3.56247708609235e-12
eucgr.a02989.1.p,_35.2_,'not assigned.unknown',2.02368014569283e-12
eucgr.a02995.1.p,_27.3_,'RNA.regulation of transcription',2.58231909454213e-12
eucgr.b00034.1.p,_30.7_,'signalling.14-3-3 proteins',5.29388627909324e-12
eucgr.b00038.1.p,_9.7_,'mitochondrial electron transport / ATP synthesis.cytochrome c oxidase',1.18769669542327e-11
eucgr.b00043.1.p,_2.2.2.8_,'major CHO metabolism.degradation.starch.ISA3',1.85500204838883e-12
eucgr.b00046.2.p,_27.4_,'RNA.RNA binding',1.69034272302583e-12
eucgr.b00101.1.p,_35.1_,'not assigned.no ontology',3.36230144378127e-12
eucgr.b00129.1.p,_33.99_,'development.unspecified',2.06563533811992e-12
eucgr.b00131.1.p,_23.4.1_,'nucleotide metabolism.phosphotransfer and pyrophosphatases.adenylate kinase',1.30134235739604e-11
eucgr.b00132.2.p,_29.5.4_,'protein.degradation.aspartate protease',2.36017291369066e-12
eucgr.b00144.1.p,_4.1.8_,'glycolysis.cytosolic branch.glyceraldehyde 3-phosphate dehydrogenase (GAP-DH)',1.56177937805588e-10
eucgr.b00172.1.p,_29.4_,'protein.postranslational modification',1.38440881310657e-11
eucgr.b00177.1.p,_27.4_,'RNA.RNA binding',8.58685642306609e-11
eucgr.b00195.1.p,"_16.5.1.1.4.1_, _16.8.3.3_, _26.10_","'secondary metabolism.sulfur-containing.glucosinolates.synthesis.shared.CYP83B1 phenylacetaldoxime monooxygenase', 'secondary metabolism.flavonoids.dihydroflavonols.flavonoid 3''-monooxygenase', 'misc.cytochrome P450'",4.16107699407289e-12
eucgr.b00242.1.p,_31.2_,'cell.division',2.42460822496244e-12
eucgr.b00299.1.p,_34.8_,'transport.metabolite transporters at the envelope membrane',8.97768875711739e-13
eucgr.b00303.2.p,"_18.7_, _29.8_","'Co-factor and vitamine metabolism.iron-sulphur clusters', 'protein.assembly and cofactor ligation'",1.36179353601988e-12
eucgr.b00316.1.p,_16.1.1.2_,'secondary metabolism.isoprenoids.non-mevalonate pathway.DXR',8.45943301907444e-12
eucgr.b00317.1.p,_29.3.5_,'protein.targeting.peroxisomes',5.01116627800932e-13
eucgr.b00335.1.p,_16.4.2.1_,'secondary metabolism.N misc.betaine.betaine-aldehyde dehydrogenase',5.07783662101796e-12
eucgr.b00336.1.p,_16.4.2.1_,'secondary metabolism.N misc.betaine.betaine-aldehyde dehydrogenase',9.36233847999284e-12
eucgr.b00357.1.p,_5.10_,'fermentation.aldehyde dehydrogenase',5.98933620265364e-11
eucgr.b00386.1.p,_20.2.99_,'stress.abiotic.unspecified',1.07904740309359e-12
eucgr.b00415.1.p,_26.22_,'misc.short chain dehydrogenase/reductase (SDR)',1.30144104313345e-11
eucgr.b00417.1.p,_26.22_,'misc.short chain dehydrogenase/reductase (SDR)',1.20781429070954e-11
eucgr.b00420.1.p,_26.22_,'misc.short chain dehydrogenase/reductase (SDR)',1.720225263277e-12
eucgr.b00421.1.p,_26.22_,'misc.short chain dehydrogenase/reductase (SDR)',4.94323647538107e-12
eucgr.b00425.1.p,_35.2_,'not assigned.unknown',5.86963194250082e-11
eucgr.b00426.1.p,_35.2_,'not assigned.unknown',8.03875217863622e-13
eucgr.b00427.4.p,_35.1_,'not assigned.no ontology',1.87155709452895e-11
eucgr.b00436.2.p,_13.2.2.2_,'amino acid metabolism.degradation.glutamate family.proline',4.27701470143062e-12
eucgr.b00459.1.p,_3.5_,'minor CHO metabolism.others',1.17550450456149e-12
eucgr.b00501.1.p,_35.2_,'not assigned.unknown',1.6799781607273e-12
eucgr.b00511.2.p,_8.2.9_,'TCA / org transformation.other organic acid transformatons.cyt MDH',1.27043192120542e-11
eucgr.b00512.1.p,_16.1.1_,'secondary metabolism.isoprenoids.non-mevalonate pathway',9.31691736489383e-12
eucgr.b00523.1.p,_1.1.2.1_,'PS.lightreaction.photosystem I.LHC-I',3.19951400787632e-10
eucgr.b00532.5.p,_1.3.11_,'PS.calvin cycle.RPE',9.87780011017102e-11
eucgr.b00553.1.p,_29.2.3_,'protein.synthesis.initiation',2.19026040424302e-12
eucgr.b00582.1.p,_16.8.3.3_,'secondary metabolism.flavonoids.dihydroflavonols.flavonoid 3''-monooxygenase',1.24282990191124e-12
eucgr.b00589.1.p,_9.9_,'mitochondrial electron transport / ATP synthesis.F1-ATPase',1.89027690081389e-11
eucgr.b00593.1.p,_27.4_,'RNA.RNA binding',3.01221561169235e-12
eucgr.b00602.1.p,_11.9.3.3_,'lipid metabolism.lipid degradation.lysophospholipases.glycerophosphodiester phosphodiesterase',1.66611242263278e-11
eucgr.b00604.1.p,_35.2_,'not assigned.unknown',2.92810987003566e-11
