Protein,NAME,BINCODE,mean,V1,V2,V3,V4,V5,V6,V7,mult_assignment
eucgr.a02793.4.p,"'RNA.regulation of transcription.putative transcription regulator', 'RNA.regulation of transcription.unclassified'","_27.3.67_, _27.3.99_",0.148851557496033,'RNA.regulation of transcription.putative transcription regulator', 'RNA.regulation of transcription.unclassified',NA,NA,NA,NA,NA,_27.3.67_
eucgr.b00195.1.p,"'secondary metabolism.sulfur-containing.glucosinolates.synthesis.shared.CYP83B1 phenylacetaldoxime monooxygenase', 'secondary metabolism.flavonoids.dihydroflavonols.flavonoid 3''-monooxygenase', 'misc.cytochrome P450'","_16.5.1.1.4.1_, _16.8.3.3_, _26.10_",0.220892258844467,'secondary metabolism.sulfur-containing.glucosinolates.synthesis.shared.CYP83B1 phenylacetaldoxime monooxygenase', 'secondary metabolism.flavonoids.dihydroflavonols.flavonoid 3''-monooxygenase', 'misc.cytochrome P450',NA,NA,NA,NA,_16.5.1.1.4.1_
eucgr.b00303.2.p,"'Co-factor and vitamine metabolism.iron-sulphur clusters', 'protein.assembly and cofactor ligation'","_18.7_, _29.8_",0.0621829999496508,'Co-factor and vitamine metabolism.iron-sulphur clusters', 'protein.assembly and cofactor ligation',NA,NA,NA,NA,NA,_18.7_
eucgr.b00856.1.p,"'protein.postranslational modification', 'signalling.G-proteins', 'development.unspecified'","_29.4_, _30.5_, _33.99_",0.974252796207698,'protein.postranslational modification', 'signalling.G-proteins', 'development.unspecified',NA,NA,NA,NA,_29.4_
eucgr.b01407.2.p,"'RNA.regulation of transcription.C2H2 zinc finger family', 'RNA.regulation of transcription.C3H zinc finger family'","_27.3.11_, _27.3.12_",0.14068529404933,'RNA.regulation of transcription.C2H2 zinc finger family', 'RNA.regulation of transcription.C3H zinc finger family',NA,NA,NA,NA,NA,_27.3.11_
eucgr.b01439.1.p,"'PS.photorespiration.phosphoglycolate phosphatase', 'minor CHO metabolism.misc'","_1.2.1_, _3.99_",7.81979666634435,'PS.photorespiration.phosphoglycolate phosphatase', 'minor CHO metabolism.misc',NA,NA,NA,NA,NA,_1.2.1_
eucgr.b02323.1.p,"'protein.degradation.metalloprotease', 'protein.degradation.AAA type'","_29.5.7_, _29.5.9_",0.218654027334823,'protein.degradation.metalloprotease', 'protein.degradation.AAA type',NA,NA,NA,NA,NA,_29.5.7_
eucgr.b02532.1.p,"'PS.calvin cycle.rubisco interacting', 'protein.folding'","_1.3.13_, _29.6_",14.4632956112524,'PS.calvin cycle.rubisco interacting', 'protein.folding',NA,NA,NA,NA,NA,_1.3.13_
eucgr.b02711.1.p,"'minor CHO metabolism.others', 'secondary metabolism.flavonoids.chalcones'","_3.5_, _16.8.2_",1.87451696542635,'minor CHO metabolism.others', 'secondary metabolism.flavonoids.chalcones',NA,NA,NA,NA,NA,_3.5_
eucgr.b02909.1.p,"'protein.postranslational modification', 'protein.folding'","_29.4_, _29.6_",0.22736115608444,'protein.postranslational modification', 'protein.folding',NA,NA,NA,NA,NA,_29.4_
eucgr.b03309.1.p,"'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S27', 'protein.degradation.ubiquitin'","_29.2.1.2.1.27_, _29.5.11_",2.41078082913529,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S27', 'protein.degradation.ubiquitin',NA,NA,NA,NA,NA,_29.2.1.2.1.27_
eucgr.b03534.1.p,"'RNA.regulation of transcription.unclassified', 'cell.vesicle transport'","_27.3.99_, _31.4_",0.789716929160836,'RNA.regulation of transcription.unclassified', 'cell.vesicle transport',NA,NA,NA,NA,NA,_27.3.99_
eucgr.b03720.1.p,"'PS.photorespiration.aminotransferases peroxisomal', 'amino acid metabolism.synthesis.central amino acid metabolism.alanine.alanine-glyoxylate aminotransferase', 'amino acid metabolism.synthesis.serine-glycine-cysteine group.glycine.serine glyoxylate aminotransferase'","_1.2.3_, _13.1.1.3.11_, _13.1.5.2.3_",20.9181474684609,'PS.photorespiration.aminotransferases peroxisomal', 'amino acid metabolism.synthesis.central amino acid metabolism.alanine.alanine-glyoxylate aminotransferase', 'amino acid metabolism.synthesis.serine-glycine-cysteine group.glycine.serine glyoxylate aminotransferase',NA,NA,NA,NA,_1.2.3_
eucgr.b03754.1.p,"'protein.postranslational modification', 'protein.folding'","_29.4_, _29.6_",0.311329222644214,'protein.postranslational modification', 'protein.folding',NA,NA,NA,NA,NA,_29.4_
eucgr.b03800.2.p,"'protein.degradation.ubiquitin', 'protein.degradation.ubiquitin.ubiquitin protease'","_29.5.11_, _29.5.11.5_",0.992726372022024,'protein.degradation.ubiquitin', 'protein.degradation.ubiquitin.ubiquitin protease',NA,NA,NA,NA,NA,_29.5.11_
eucgr.b03850.2.p,"'protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L10A', 'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L10A'","_29.2.1.1.3.2.510_, _29.2.1.2.2.510_",0.247786792592737,'protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L10A', 'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L10A',NA,NA,NA,NA,NA,_29.2.1.1.3.2.510_
eucgr.b03891.1.p,"'PS.calvin cycle.aldolase', 'glycolysis.cytosolic branch.aldolase', 'glycolysis.unclear/dually targeted.aldolase'","_1.3.6_, _4.1.10_, _4.3.10_",0.0302973924282048,'PS.calvin cycle.aldolase', 'glycolysis.cytosolic branch.aldolase', 'glycolysis.unclear/dually targeted.aldolase',NA,NA,NA,NA,_1.3.6_
eucgr.b03987.1.p,"'minor CHO metabolism.raffinose family.galactinol synthases.known', 'minor CHO metabolism.raffinose family.galactinol synthases.putative'","_3.1.1.1_, _3.1.1.2_",0.59274204925449,'minor CHO metabolism.raffinose family.galactinol synthases.known', 'minor CHO metabolism.raffinose family.galactinol synthases.putative',NA,NA,NA,NA,NA,_3.1.1.1_
eucgr.c00140.1.p,"'transport.p- and v-ATPases', 'transport.p- and v-ATPases.H+-exporting ATPase'","_34.1_, _34.1.2_",0.941356619560665,'transport.p- and v-ATPases', 'transport.p- and v-ATPases.H+-exporting ATPase',NA,NA,NA,NA,NA,_34.1_
eucgr.c00165.2.p,"'transport.unspecified anions', 'transport.porins'","_34.18_, _34.20_",0.645741882186827,'transport.unspecified anions', 'transport.porins',NA,NA,NA,NA,NA,_34.18_
eucgr.c00646.1.p,"'PS.photorespiration.glycine cleavage.P subunit', 'C1-metabolism'","_1.2.4.1_, _25_",10.1492025501027,'PS.photorespiration.glycine cleavage.P subunit', 'C1-metabolism',NA,NA,NA,NA,NA,_1.2.4.1_
eucgr.c00784.3.p,"'RNA.processing.splicing', 'RNA.RNA binding'","_27.1.1_, _27.4_",0.127877155805271,'RNA.processing.splicing', 'RNA.RNA binding',NA,NA,NA,NA,NA,_27.1.1_
eucgr.c01076.2.p,"'lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase', 'amino acid metabolism.degradation.aromatic aa.tryptophan'","_11.9.4.3_, _13.2.6.3_",0.855395744828279,'lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase', 'amino acid metabolism.degradation.aromatic aa.tryptophan',NA,NA,NA,NA,NA,_11.9.4.3_
eucgr.c01171.1.p,"'misc.oxidases - copper, flavone etc', 'misc.alcohol dehydrogenases'","_26.7_, _26.11_",0.111932585673805,'misc.oxidases - copper, flavone etc', 'misc.alcohol dehydrogenases',NA,NA,NA,NA,_26.7_
eucgr.c02092.2.p,"'transport.p- and v-ATPases', 'transport.p- and v-ATPases.H+-exporting ATPase'","_34.1_, _34.1.2_",1.74943929639061,'transport.p- and v-ATPases', 'transport.p- and v-ATPases.H+-exporting ATPase',NA,NA,NA,NA,NA,_34.1_
eucgr.c02115.1.p,"'DNA.repair', 'cell.organisation.cytoskeleton.Myosin'","_28.2_, _31.1.1.3_",0.182846248629625,'DNA.repair', 'cell.organisation.cytoskeleton.Myosin',NA,NA,NA,NA,NA,_28.2_
eucgr.c02986.2.p,"'glycolysis.cytosolic branch.phosphofructokinase (PFK)', 'glycolysis.unclear/dually targeted.phosphofructokinase (PFK)'","_4.1.4_, _4.3.4_",1.28334061223012,'glycolysis.cytosolic branch.phosphofructokinase (PFK)', 'glycolysis.unclear/dually targeted.phosphofructokinase (PFK)',NA,NA,NA,NA,NA,_4.1.4_
eucgr.c03047.1.p,"'PS.photorespiration.glycine cleavage.P subunit', 'C1-metabolism'","_1.2.4.1_, _25_",67.158960938052,'PS.photorespiration.glycine cleavage.P subunit', 'C1-metabolism',NA,NA,NA,NA,NA,_1.2.4.1_
eucgr.c03896.1.p,"'cell wall.degradation.mannan-xylose-arabinose-fucose', 'misc.gluco-, galacto- and mannosidases.beta-galactosidase'","_10.6.2_, _26.3.2_",0.445387711337948,'cell wall.degradation.mannan-xylose-arabinose-fucose', 'misc.gluco-, galacto- and mannosidases.beta-galactosidase',NA,NA,NA,NA,_10.6.2_
eucgr.c03898.1.p,"'cell wall.degradation.mannan-xylose-arabinose-fucose', 'misc.gluco-, galacto- and mannosidases.beta-galactosidase'","_10.6.2_, _26.3.2_",0.184656763400039,'cell wall.degradation.mannan-xylose-arabinose-fucose', 'misc.gluco-, galacto- and mannosidases.beta-galactosidase',NA,NA,NA,NA,_10.6.2_
eucgr.c03995.1.p,"'hormone metabolism.abscisic acid.synthesis-degradation.synthesis.short chain alcohol dehydrogenmase (ABA2)', 'misc.short chain dehydrogenase/reductase (SDR)'","_17.1.1.1.11_, _26.22_",0.117072798040318,'hormone metabolism.abscisic acid.synthesis-degradation.synthesis.short chain alcohol dehydrogenmase (ABA2)', 'misc.short chain dehydrogenase/reductase (SDR)',NA,NA,NA,NA,NA,_17.1.1.1.11_
eucgr.c04134.2.p,"'lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase', 'amino acid metabolism.degradation.aromatic aa.tryptophan'","_11.9.4.3_, _13.2.6.3_",0.0866107369910002,'lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase', 'amino acid metabolism.degradation.aromatic aa.tryptophan',NA,NA,NA,NA,NA,_11.9.4.3_
eucgr.d01327.1.p,"'misc.oxidases - copper, flavone etc', 'misc.alcohol dehydrogenases'","_26.7_, _26.11_",0.348314668175735,'misc.oxidases - copper, flavone etc', 'misc.alcohol dehydrogenases',NA,NA,NA,NA,_26.7_
eucgr.d01635.1.p,"'secondary metabolism.flavonoids.chalcones', 'secondary metabolism.flavonoids.chalcones.naringenin-chalcone synthase'","_16.8.2_, _16.8.2.1_",0.0602729812905433,'secondary metabolism.flavonoids.chalcones', 'secondary metabolism.flavonoids.chalcones.naringenin-chalcone synthase',NA,NA,NA,NA,NA,_16.8.2_
eucgr.d01798.1.p,"'stress.biotic', 'protein.targeting.secretory pathway.plasma membrane'","_20.1_, _29.3.4.4_",0.416468680373736,'stress.biotic', 'protein.targeting.secretory pathway.plasma membrane',NA,NA,NA,NA,NA,_20.1_
eucgr.d01934.2.p,"'cell wall.precursor synthesis.RHM', 'cell wall.precursor synthesis.UER'","_10.1.10_, _10.1.11_",0.154512548120263,'cell wall.precursor synthesis.RHM', 'cell wall.precursor synthesis.UER',NA,NA,NA,NA,NA,_10.1.10_
eucgr.d01990.1.p,"'protein.postranslational modification', 'signalling.calcium'","_29.4_, _30.3_",0.11489087775199,'protein.postranslational modification', 'signalling.calcium',NA,NA,NA,NA,NA,_29.4_
eucgr.d02006.1.p,"'secondary metabolism.flavonoids.dihydroflavonols.flavonoid 3''-monooxygenase', 'misc.cytochrome P450'","_16.8.3.3_, _26.10_",0.353211840993108,'secondary metabolism.flavonoids.dihydroflavonols.flavonoid 3''-monooxygenase', 'misc.cytochrome P450',NA,NA,NA,NA,NA,_16.8.3.3_
eucgr.d02202.1.p,"'protein.degradation.ubiquitin.ubiquitin protease', 'cell.vesicle transport', 'development.unspecified'","_29.5.11.5_, _31.4_, _33.99_",0.0483080199636587,'protein.degradation.ubiquitin.ubiquitin protease', 'cell.vesicle transport', 'development.unspecified',NA,NA,NA,NA,_29.5.11.5_
eucgr.d02241.4.p,"'protein.targeting.peroxisomes', 'cell.organisation'","_29.3.5_, _31.1_",0.162244707934385,'protein.targeting.peroxisomes', 'cell.organisation',NA,NA,NA,NA,NA,_29.3.5_
eucgr.d02466.1.p,"'PS.calvin cycle.transketolase', 'OPP.non-reductive PP.transketolase'","_1.3.8_, _7.2.1_",18.4041131028594,'PS.calvin cycle.transketolase', 'OPP.non-reductive PP.transketolase',NA,NA,NA,NA,NA,_1.3.8_
eucgr.d02467.1.p,"'PS.calvin cycle.transketolase', 'OPP.non-reductive PP.transketolase'","_1.3.8_, _7.2.1_",98.5966492753205,'PS.calvin cycle.transketolase', 'OPP.non-reductive PP.transketolase',NA,NA,NA,NA,NA,_1.3.8_
eucgr.d02491.1.p,"'DNA.unspecified', 'protein.targeting.secretory pathway.ER'","_28.99_, _29.3.4.1_",0.346832217960901,'DNA.unspecified', 'protein.targeting.secretory pathway.ER',NA,NA,NA,NA,NA,_28.99_
eucgr.e00214.3.p,"'protein.targeting.peroxisomes', 'cell.organisation'","_29.3.5_, _31.1_",0.168894835473378,'protein.targeting.peroxisomes', 'cell.organisation',NA,NA,NA,NA,NA,_29.3.5_
eucgr.e00355.1.p,"'RNA.regulation of transcription.HSF,Heat-shock transcription factor family', 'RNA.regulation of transcription.unclassified'","_27.3.23_, _27.3.99_",0.299277524741646,'RNA.regulation of transcription.HSF,Heat-shock transcription factor family', 'RNA.regulation of transcription.unclassified',NA,NA,NA,NA,_27.3.23_
eucgr.e00828.1.p,"'transport.p- and v-ATPases.H+-transporting two-sector ATPase', 'transport.p- and v-ATPases.H+-transporting two-sector ATPase.subunit E'","_34.1.1_, _34.1.1.4_",0.343077027143744,'transport.p- and v-ATPases.H+-transporting two-sector ATPase', 'transport.p- and v-ATPases.H+-transporting two-sector ATPase.subunit E',NA,NA,NA,NA,NA,_34.1.1_
eucgr.e00844.1.p,"'signalling.light.COP9 signalosome', 'development.unspecified'","_30.11.1_, _33.99_",0.680544866882025,'signalling.light.COP9 signalosome', 'development.unspecified',NA,NA,NA,NA,NA,_30.11.1_
eucgr.e00873.1.p,"'misc.dynamin', 'signalling.G-proteins'","_26.17_, _30.5_",0.119945655902335,'misc.dynamin', 'signalling.G-proteins',NA,NA,NA,NA,NA,_26.17_
eucgr.e01212.1.p,"'major CHO metabolism.degradation.starch.starch cleavage', 'misc.gluco-, galacto- and mannosidases.alpha-galactosidase'","_2.2.2.1_, _26.3.1_",1.44898118885146,'major CHO metabolism.degradation.starch.starch cleavage', 'misc.gluco-, galacto- and mannosidases.alpha-galactosidase',NA,NA,NA,NA,_2.2.2.1_
eucgr.e01244.1.p,"'secondary metabolism.flavonoids.flavonols', 'secondary metabolism.flavonoids.flavonols.flavonol 3-O-glycosyltransferase', 'stress.biotic', 'misc.UDP glucosyl and glucoronyl transferases'","_16.8.4_, _16.8.4.2_, _20.1_, _26.2_",0.0543218719078122,'secondary metabolism.flavonoids.flavonols', 'secondary metabolism.flavonoids.flavonols.flavonol 3-O-glycosyltransferase', 'stress.biotic', 'misc.UDP glucosyl and glucoronyl transferases',NA,NA,NA,_16.8.4_
eucgr.e01246.1.p,"'secondary metabolism.flavonoids.flavonols', 'hormone metabolism.cytokinin.synthesis-degradation', 'stress.biotic', 'misc.UDP glucosyl and glucoronyl transferases'","_16.8.4_, _17.4.1_, _20.1_, _26.2_",0.0946658557930919,'secondary metabolism.flavonoids.flavonols', 'hormone metabolism.cytokinin.synthesis-degradation', 'stress.biotic', 'misc.UDP glucosyl and glucoronyl transferases',NA,NA,NA,_16.8.4_
eucgr.e01392.1.p,"'stress.biotic', 'signalling.receptor kinases.thaumatin like'","_20.1_, _30.2.15_",0.152819456214019,'stress.biotic', 'signalling.receptor kinases.thaumatin like',NA,NA,NA,NA,NA,_20.1_
eucgr.e02882.1.p,"'secondary metabolism.flavonoids.dihydroflavonols', 'secondary metabolism.flavonoids.flavonols'","_16.8.3_, _16.8.4_",0.0576049702351504,'secondary metabolism.flavonoids.dihydroflavonols', 'secondary metabolism.flavonoids.flavonols',NA,NA,NA,NA,NA,_16.8.3_
eucgr.e02951.1.p,"'secondary metabolism.flavonoids.flavonols.flavonol 3-O-glycosyltransferase', 'misc.UDP glucosyl and glucoronyl transferases'","_16.8.4.2_, _26.2_",0.299650016826751,'secondary metabolism.flavonoids.flavonols.flavonol 3-O-glycosyltransferase', 'misc.UDP glucosyl and glucoronyl transferases',NA,NA,NA,NA,NA,_16.8.4.2_
eucgr.e03242.1.p,"'major CHO metabolism.degradation.starch.transporter', 'transport.metabolite transporters at the envelope membrane'","_2.2.2.6_, _34.8_",4.90790906055783,'major CHO metabolism.degradation.starch.transporter', 'transport.metabolite transporters at the envelope membrane',NA,NA,NA,NA,NA,_2.2.2.6_
eucgr.e03767.1.p,"'stress', 'signalling.receptor kinases.DUF 26'","_20_, _30.2.17_",0.27929470809924,'stress', 'signalling.receptor kinases.DUF 26',NA,NA,NA,NA,NA,_20_
eucgr.f00173.1.p,"'secondary metabolism.sulfur-containing.glucosinolates.synthesis.indole.cytochrome P450 monooxygenase', 'misc.cytochrome P450'","_16.5.1.1.3.4_, _26.10_",0.0900098576263972,'secondary metabolism.sulfur-containing.glucosinolates.synthesis.indole.cytochrome P450 monooxygenase', 'misc.cytochrome P450',NA,NA,NA,NA,NA,_16.5.1.1.3.4_
eucgr.f00246.1.p,"'lipid metabolism.lipid degradation.beta-oxidation.acyl-CoA thioesterase', 'Biodegradation of Xenobiotics'","_11.9.4.5_, _24_",0.139265225457805,'lipid metabolism.lipid degradation.beta-oxidation.acyl-CoA thioesterase', 'Biodegradation of Xenobiotics',NA,NA,NA,NA,NA,_11.9.4.5_
eucgr.f00353.1.p,"'hormone metabolism.cytokinin.synthesis-degradation', 'misc.UDP glucosyl and glucoronyl transferases'","_17.4.1_, _26.2_",0.192626703383965,'hormone metabolism.cytokinin.synthesis-degradation', 'misc.UDP glucosyl and glucoronyl transferases',NA,NA,NA,NA,NA,_17.4.1_
eucgr.f01173.2.p,"'RNA.regulation of transcription.unclassified', 'DNA.unspecified'","_27.3.99_, _28.99_",0.11315966724961,'RNA.regulation of transcription.unclassified', 'DNA.unspecified',NA,NA,NA,NA,NA,_27.3.99_
eucgr.f01712.2.p,"'cell wall.pectin*esterases.PME', 'misc.oxidases - copper, flavone etc'","_10.8.1_, _26.7_",0.446345190238333,'cell wall.pectin*esterases.PME', 'misc.oxidases - copper, flavone etc',NA,NA,NA,NA,_10.8.1_
eucgr.f01789.1.p,"'stress.biotic', 'protein.degradation.ubiquitin.E3.RING'","_20.1_, _29.5.11.4.2_",0.0547771516215254,'stress.biotic', 'protein.degradation.ubiquitin.E3.RING',NA,NA,NA,NA,NA,_20.1_
eucgr.f02017.1.p,"'PS.calvin cycle.aldolase', 'glycolysis.cytosolic branch.aldolase'","_1.3.6_, _4.1.10_",14.5126493633535,'PS.calvin cycle.aldolase', 'glycolysis.cytosolic branch.aldolase',NA,NA,NA,NA,NA,_1.3.6_
eucgr.f02479.1.p,"'hormone metabolism.jasmonate.synthesis-degradation.allene oxidase cyclase', 'stress.abiotic.drought/salt'","_17.7.1.4_, _20.2.3_",1.25298861644804,'hormone metabolism.jasmonate.synthesis-degradation.allene oxidase cyclase', 'stress.abiotic.drought/salt',NA,NA,NA,NA,NA,_17.7.1.4_
eucgr.f02507.1.p,"'major CHO metabolism.degradation.starch.transporter', 'transport.sugars'","_2.2.2.6_, _34.2_",0.0875667145520992,'major CHO metabolism.degradation.starch.transporter', 'transport.sugars',NA,NA,NA,NA,NA,_2.2.2.6_
eucgr.f02830.1.p,"'hormone metabolism.brassinosteroid.signal transduction.other', 'protein.synthesis.initiation'","_17.3.2.99_, _29.2.3_",0.316032093442257,'hormone metabolism.brassinosteroid.signal transduction.other', 'protein.synthesis.initiation',NA,NA,NA,NA,NA,_17.3.2.99_
eucgr.f03138.1.p,"'major CHO metabolism.degradation.sucrose.invertases.cell wall', 'minor CHO metabolism.others'","_2.2.1.3.2_, _3.5_",0.206780574384105,'major CHO metabolism.degradation.sucrose.invertases.cell wall', 'minor CHO metabolism.others',NA,NA,NA,NA,NA,_2.2.1.3.2_
eucgr.f03148.3.p,"'protein.targeting.secretory pathway.unspecified', 'cell.vesicle transport'","_29.3.4.99_, _31.4_",0.103887821910668,'protein.targeting.secretory pathway.unspecified', 'cell.vesicle transport',NA,NA,NA,NA,NA,_29.3.4.99_
eucgr.f03282.1.p,"'protein.targeting.secretory pathway.unspecified', 'transport.misc'","_29.3.4.99_, _34.99_",0.284639328953824,'protein.targeting.secretory pathway.unspecified', 'transport.misc',NA,NA,NA,NA,NA,_29.3.4.99_
eucgr.f03333.1.p,"'protein.synthesis.ribosome biogenesis', 'signalling.G-proteins'","_29.2.2_, _30.5_",0.31262552142954,'protein.synthesis.ribosome biogenesis', 'signalling.G-proteins',NA,NA,NA,NA,NA,_29.2.2_
eucgr.f03462.1.p,"'RNA.processing', 'RNA.regulation of transcription.unclassified'","_27.1_, _27.3.99_",0.391810713421987,'RNA.processing', 'RNA.regulation of transcription.unclassified',NA,NA,NA,NA,NA,_27.1_
eucgr.f03591.1.p,"'hormone metabolism.cytokinin.synthesis-degradation', 'misc.UDP glucosyl and glucoronyl transferases'","_17.4.1_, _26.2_",0.396336330401322,'hormone metabolism.cytokinin.synthesis-degradation', 'misc.UDP glucosyl and glucoronyl transferases',NA,NA,NA,NA,NA,_17.4.1_
eucgr.f03916.1.p,"'secondary metabolism.flavonoids.flavonols', 'hormone metabolism.ethylene.synthesis-degradation'","_16.8.4_, _17.5.1_",0.411635413014008,'secondary metabolism.flavonoids.flavonols', 'hormone metabolism.ethylene.synthesis-degradation',NA,NA,NA,NA,NA,_16.8.4_
