BINCODE,NAME,IDENTIFIER,DESCRIPTION,TYPE
_1.1.1.1_,PS.lightreaction.photosystem II.LHC-II,eucgr.e02381.1.p,"'(p27493|cb22_tobac : 456.0) Chlorophyll a-b binding protein 21, chloroplast precursor (LHCII type I CAB-21) (LHCP) - Nicotiana tabacum (Common tobacco) & (at2g34430 : 425.0) Photosystem II type I chlorophyll            a/b-binding protein; light-harvesting chlorophyll-protein complex II subunit B1 (LHB1B1); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, light harvesting in photosystem II, photosynthesis; LOCATED IN: in 8 components; EXPRESSED IN: shoot, cotyledon, guard cell, cultured cell, leaf; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: chlorophyll A/B binding protein 1 (TAIR:AT1G29930.1); Has 2425 Blast hits to 2344 proteins in 223 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 0; Plants - 2094; Viruses - 0; Other Eukaryotes - 327 (source: NCBI BLink). & (gnl|cdd|84819 : 171.0) no description available & (ipr022796 : 112.184814) Chlorophyll A-B binding protein & (reliability: 850.0) &  (original description: pacid=32029924 transcript=Eucgr.E02381.1 locus=Eucgr.E02381 ID=Eucgr.E02381.1.v2.0 annot-version=v2.0)'",T
_1.1.1.1_,PS.lightreaction.photosystem II.LHC-II,eucgr.d00322.1.p,"'(p27493|cb22_tobac : 491.0) Chlorophyll a-b binding protein 21, chloroplast precursor (LHCII type I CAB-21) (LHCP) - Nicotiana tabacum (Common tobacco) & (at2g34430 : 461.0) Photosystem II type I chlorophyll            a/b-binding protein; light-harvesting chlorophyll-protein complex II subunit B1 (LHB1B1); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, light harvesting in photosystem II, photosynthesis; LOCATED IN: in 8 components; EXPRESSED IN: shoot, cotyledon, guard cell, cultured cell, leaf; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: chlorophyll A/B binding protein 1 (TAIR:AT1G29930.1); Has 2425 Blast hits to 2344 proteins in 223 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 0; Plants - 2094; Viruses - 0; Other Eukaryotes - 327 (source: NCBI BLink). & (gnl|cdd|84819 : 187.0) no description available & (ipr022796 : 114.65925) Chlorophyll A-B binding protein & (reliability: 922.0) &  (original description: pacid=32049986 transcript=Eucgr.D00322.1 locus=Eucgr.D00322 ID=Eucgr.D00322.1.v2.0 annot-version=v2.0)'",T
_1.1.1.1_,PS.lightreaction.photosystem II.LHC-II,eucgr.d00321.1.p,"'(p27493|cb22_tobac : 476.0) Chlorophyll a-b binding protein 21, chloroplast precursor (LHCII type I CAB-21) (LHCP) - Nicotiana tabacum (Common tobacco) & (at2g34430 : 438.0) Photosystem II type I chlorophyll            a/b-binding protein; light-harvesting chlorophyll-protein complex II subunit B1 (LHB1B1); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, light harvesting in photosystem II, photosynthesis; LOCATED IN: in 8 components; EXPRESSED IN: shoot, cotyledon, guard cell, cultured cell, leaf; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: chlorophyll A/B binding protein 1 (TAIR:AT1G29930.1); Has 2425 Blast hits to 2344 proteins in 223 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 0; Plants - 2094; Viruses - 0; Other Eukaryotes - 327 (source: NCBI BLink). & (gnl|cdd|84819 : 188.0) no description available & (ipr022796 : 114.792786) Chlorophyll A-B binding protein & (reliability: 876.0) &  (original description: pacid=32050600 transcript=Eucgr.D00321.1 locus=Eucgr.D00321 ID=Eucgr.D00321.1.v2.0 annot-version=v2.0)'",T
_1.1.1.1_,PS.lightreaction.photosystem II.LHC-II,eucgr.d00319.1.p,"'(p27493|cb22_tobac : 492.0) Chlorophyll a-b binding protein 21, chloroplast precursor (LHCII type I CAB-21) (LHCP) - Nicotiana tabacum (Common tobacco) & (at1g29930 : 452.0) Subunit of light-harvesting complex II (LHCII),which absorbs light and transfers energy to the photosynthetic reaction center.; chlorophyll A/B binding protein 1 (CAB1); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis; LOCATED IN: light-harvesting complex, thylakoid, chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: guard cell, juvenile leaf, cultured cell; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: chlorophyll A/B binding protein 3 (TAIR:AT1G29910.1); Has 2419 Blast hits to 2339 proteins in 222 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 0; Plants - 2091; Viruses - 0; Other Eukaryotes - 324 (source: NCBI BLink). & (gnl|cdd|84819 : 180.0) no description available & (ipr022796 : 114.94693) Chlorophyll A-B binding protein & (reliability: 904.0) &  (original description: pacid=32049552 transcript=Eucgr.D00319.1 locus=Eucgr.D00319 ID=Eucgr.D00319.1.v2.0 annot-version=v2.0)'",T
_1.1.1.1_,PS.lightreaction.photosystem II.LHC-II,eucgr.a01047.1.p,"'(p27494|cb23_tobac : 436.0) Chlorophyll a-b binding protein 36, chloroplast precursor (LHCII type I CAB-36) (LHCP) - Nicotiana tabacum (Common tobacco) & (at2g05070 : 420.0) Encodes Lhcb2.2.  Belongs to the Lhc super-gene family encodes the light-harvesting chlorophyll a/b-binding (LHC) proteins that constitute the antenna system of the photosynthetic apparatus.; photosystem II light harvesting complex gene 2.2 (LHCB2.2); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, light harvesting, photosynthesis; LOCATED IN: in 7 components; EXPRESSED IN: guard cell, juvenile leaf, cultured cell, leaf; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: photosystem II light harvesting complex gene 2.1 (TAIR:AT2G05100.1); Has 2376 Blast hits to 2314 proteins in 223 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 0; Plants - 2060; Viruses - 0; Other Eukaryotes - 312 (source: NCBI BLink). & (gnl|cdd|84819 : 178.0) no description available & (ipr022796 : 114.86689) Chlorophyll A-B binding protein & (reliability: 840.0) &  (original description: pacid=32047591 transcript=Eucgr.A01047.1 locus=Eucgr.A01047 ID=Eucgr.A01047.1.v2.0 annot-version=v2.0)'",T
_1.1.1.2_,PS.lightreaction.photosystem II.PSII polypeptide subunits,tr|t1qlg8|t1qlg8_eucgl,"'(q36632|psbh_popde : 129.0) Photosystem II reaction center protein H (PSII-H) (Photosystem II 10 kDa phosphoprotein) - Populus deltoides (Poplar) & (gnl|cdd|79283 : 129.0) no description available & (atcg00710 : 121.0) Encodes a 8 kD phosphoprotein that is a component of the photosystem II oxygen evolving core. Its exact molecular function has not been determined but it may play a role in mediating electron transfer between the secondary quinone acceptors, QA and QB, associated with the acceptor side of PSII.; photosystem II reaction center protein H (PSBH); FUNCTIONS IN: phosphate binding; INVOLVED IN: photosynthesis, light harvesting in photosystem II; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast, oxygen evolving complex, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II phosphoprotein PsbH (InterPro:IPR001056). & (reliability: 242.0) &  (original description: Photosystem II protein H OS=Eucalyptus globulus GN=psbH PE=3 SV=1)'",T
_1.1.1.2_,PS.lightreaction.photosystem II.PSII polypeptide subunits,tr|t1ql72|t1ql72_eucgl,"'(gnl|cdd|79223 : 670.0) no description available & (q9bbt0|psbd_lotja : 658.0) Photosystem II D2 protein (Photosystem Q(A) protein) (PSII D2 protein) - Lotus japonicus & (atcg00270 : 652.0) PSII D2 protein; photosystem II reaction center protein D (PSBD); FUNCTIONS IN: electron transporter, transferring electrons within the noncyclic electron transport pathway of photosynthesis activity; INVOLVED IN: photosynthetic electron transport in photosystem II, photosynthesis, light harvesting in photosystem II; LOCATED IN: in 6 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosynthetic reaction centre, L/M (InterPro:IPR000484), Photosystem II reaction centre protein PsbD/D2 (InterPro:IPR005868); BEST Arabidopsis thaliana protein match is: photosystem II reaction center protein A (TAIR:ATCG00020.1). & (ipr000484 : 181.43422) Photosynthetic reaction centre, L/M & (reliability: 1304.0) &  (original description: Photosystem II D2 protein OS=Eucalyptus globulus GN=psbD PE=3 SV=1)'",T
_1.1.1.2_,PS.lightreaction.photosystem II.PSII polypeptide subunits,tr|t1ql58|t1ql58_eucgl,"'(gnl|cdd|79222 : 681.0) no description available & (atcg00020 : 662.0) Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core; photosystem II reaction center protein A (PSBA); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, light reaction; LOCATED IN: in 6 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II reaction centre protein PsbA/D1 (InterPro:IPR005867), Photosynthetic reaction centre, L/M (InterPro:IPR000484); BEST Arabidopsis thaliana protein match is: photosystem II reaction center protein D (TAIR:ATCG00270.1). & (p36491|psba_popde : 662.0) Photosystem Q(B) protein (32 kDa thylakoid membrane protein) (Photosystem II protein D1) - Populus deltoides (Poplar) & (ipr000484 : 216.03754) Photosynthetic reaction centre, L/M & (reliability: 1324.0) &  (original description: Photosystem II protein D1 OS=Eucalyptus globulus GN=psbA PE=3 SV=1)'",T
_1.1.1.2_,PS.lightreaction.photosystem II.PSII polypeptide subunits,tr|t1qkh5|t1qkh5_eucgl,"'(atcg00580 : 155.0) PSII cytochrome b559. There have been many speculations about the function of Cyt b559, but the most favored at present is that it plays a protective role by acting as an electron acceptor or electron donor under conditions when electron flow through PSII is not optimized.; photosystem II reaction center protein E (PSBE); FUNCTIONS IN: electron carrier activity, heme binding; INVOLVED IN: photosynthesis, light harvesting in photosystem II; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast, oxygen evolving complex, membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein cytochrome b559, N-terminal (InterPro:IPR013081), Photosystem II protein cytochrome b559, conserved site (InterPro:IPR006216), Photosystem II protein cytochrome b559, alpha subunit, lumenal region (InterPro:IPR013082), Photosystem II protein cytochrome b559, alpha subunit (InterPro:IPR006217). & (q2veg1|psbe_soltu : 155.0) Cytochrome b559 alpha subunit (PSII reaction center subunit V) - Solanum tuberosum (Potato) & (gnl|cdd|79281 : 149.0) no description available & (reliability: 310.0) &  (original description: Cytochrome b559 subunit alpha OS=Eucalyptus globulus GN=psbE PE=3 SV=1)'",T
_1.1.1.2_,PS.lightreaction.photosystem II.PSII polypeptide subunits,tr|t1qkk1|t1qkk1_eucgl,"'(gnl|cdd|79279 : 1003.0) no description available & (p06411|psbb_tobac : 951.0) Photosystem II P680 chlorophyll A apoprotein (CP-47 protein) - Nicotiana tabacum (Common tobacco) & (atcg00680 : 947.0) encodes for CP47, subunit of the photosystem II reaction center.; photosystem II reaction center protein B (PSBB); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, light reaction, photosystem II assembly; LOCATED IN: in 6 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem antenna protein-like (InterPro:IPR000932), Photosystem II, PsbB (InterPro:IPR017486); BEST Arabidopsis thaliana protein match is: photosystem II reaction center protein C (TAIR:ATCG00280.1). & (ipr000932 : 469.8899) Photosystem antenna protein-like & (reliability: 1894.0) &  (original description: Photosystem II CP47 reaction center protein OS=Eucalyptus globulus GN=psbB PE=3 SV=1)'",T
_1.1.1.2_,PS.lightreaction.photosystem II.PSII polypeptide subunits,tr|t1qke2|t1qke2_eucgl,"'(ipr000932 : 1500.0) Photosystem antenna protein-like & (gnl|cdd|79253 : 926.0) no description available & (p06413|psbc_tobac : 839.0) Photosystem II 44 kDa reaction center protein (P6 protein) (CP43) - Nicotiana tabacum (Common tobacco) & (atcg00280 : 835.0) chloroplast gene encoding a CP43 subunit of  the photosystem II reaction center. promoter contains a blue-light responsive element.; photosystem II reaction center protein C (PSBC); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, light reaction; LOCATED IN: in 7 components; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem antenna protein-like (InterPro:IPR000932), Photosystem II protein PsbC (InterPro:IPR005869); BEST Arabidopsis thaliana protein match is: photosystem II reaction center protein B (TAIR:ATCG00680.1). & (reliability: 1670.0) &  (original description: Photosystem II CP43 reaction center protein OS=Eucalyptus globulus GN=psbC PE=3 SV=1)'",T
_1.1.1.2_,PS.lightreaction.photosystem II.PSII polypeptide subunits,eucgr.l03253.1.p,"'(at2g39470 : 246.0) PsbP-like protein 2 (PPL2); FUNCTIONS IN: calcium ion binding; INVOLVED IN: photosynthesis; LOCATED IN: chloroplast thylakoid membrane, chloroplast thylakoid lumen, chloroplast photosystem II, chloroplast, oxygen evolving complex; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II oxygen evolving complex protein PsbP (InterPro:IPR002683), Mog1/PsbP/DUF1795, alpha/beta/alpha sandwich (InterPro:IPR016124), Mog1/PsbP, alpha/beta/alpha sandwich (InterPro:IPR016123); BEST Arabidopsis thaliana protein match is: PsbP-like protein 1 (TAIR:AT3G55330.1); Has 90 Blast hits to 90 proteins in 24 species: Archae - 0; Bacteria - 2; Metazoa - 0; Fungi - 0; Plants - 87; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink). & (gnl|cdd|85679 : 146.0) no description available & (ipr002683 : 110.970375) Photosystem II PsbP, oxygen evolving complex & (reliability: 686.1981) &  (original description: pacid=32065697 transcript=Eucgr.L03253.1 locus=Eucgr.L03253 ID=Eucgr.L03253.1.v2.0 annot-version=v2.0)'",T
_1.1.1.2_,PS.lightreaction.photosystem II.PSII polypeptide subunits,eucgr.l02948.1.p,"'(at1g14150 : 192.0) Encodes a subunit of the NAD(P)H dehydrogenase complex located in the chloroplast thylakoid lumen.; PsbQ-like 2 (PQL2); FUNCTIONS IN: electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity; INVOLVED IN: photosynthetic electron transport chain; LOCATED IN: in 6 components; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II oxygen evolving complex protein PsbQ (InterPro:IPR008797); BEST Arabidopsis thaliana protein match is: PsbQ-like 1 (TAIR:AT3G01440.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). & (gnl|cdd|69290 : 144.0) no description available & (ipr008797 : 114.253784) Photosystem II PsbQ, oxygen evolving complex & (reliability: 583.9441) &  (original description: pacid=32073632 transcript=Eucgr.L02948.1 locus=Eucgr.L02948 ID=Eucgr.L02948.1.v2.0 annot-version=v2.0)'",T
_1.1.1.2_,PS.lightreaction.photosystem II.PSII polypeptide subunits,eucgr.k01671.1.p,"'(at3g56650 : 298.0) Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein; FUNCTIONS IN: calcium ion binding; INVOLVED IN: photosynthesis; LOCATED IN: thylakoid, thylakoid lumen, chloroplast thylakoid lumen, chloroplast stroma, chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II oxygen evolving complex protein PsbP (InterPro:IPR002683), Mog1/PsbP/DUF1795, alpha/beta/alpha sandwich (InterPro:IPR016124), Mog1/PsbP, alpha/beta/alpha sandwich (InterPro:IPR016123); BEST Arabidopsis thaliana protein match is: Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein (TAIR:AT1G77090.1); Has 131 Blast hits to 131 proteins in 35 species: Archae - 0; Bacteria - 29; Metazoa - 0; Fungi - 0; Plants - 100; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink). & (reliability: 596.0) &  (original description: pacid=32067536 transcript=Eucgr.K01671.1 locus=Eucgr.K01671 ID=Eucgr.K01671.1.v2.0 annot-version=v2.0)'",T
_1.1.1.2_,PS.lightreaction.photosystem II.PSII polypeptide subunits,eucgr.k01424.1.p,"'(at4g28660 : 207.0) Similar to PsbW subunit of photosystem II.; photosystem II reaction center PSB28 protein (PSB28); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosynthesis; LOCATED IN: chloroplast thylakoid membrane, photosystem II reaction center; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein Psb28, class 1 (InterPro:IPR005610). & (gnl|cdd|79340 : 168.0) no description available & (ipr005610 : 98.05565) Photosystem II Psb28, class 1 & (reliability: 585.5974) &  (original description: pacid=32069723 transcript=Eucgr.K01424.1 locus=Eucgr.K01424 ID=Eucgr.K01424.1.v2.0 annot-version=v2.0)'",T
_1.1.1.2_,PS.lightreaction.photosystem II.PSII polypeptide subunits,eucgr.k00947.1.p,"'(at1g03600 : 155.0) PSB27; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosystem II repair; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast thylakoid lumen, chloroplast photosystem II, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; Has 273 Blast hits to 273 proteins in 82 species: Archae - 0; Bacteria - 114; Metazoa - 0; Fungi - 0; Plants - 63; Viruses - 0; Other Eukaryotes - 96 (source: NCBI BLink). & (reliability: 310.0) &  (original description: pacid=32066117 transcript=Eucgr.K00947.1 locus=Eucgr.K00947 ID=Eucgr.K00947.1.v2.0 annot-version=v2.0)'",T
_1.1.1.2_,PS.lightreaction.photosystem II.PSII polypeptide subunits,eucgr.i01025.1.p,"'(q40459|psbo_tobac : 514.0) Oxygen-evolving enhancer protein 1, chloroplast precursor (OEE1) (33 kDa subunit of oxygen evolving system of photosystem II) (OEC 33 kDa subunit) (33 kDa thylakoid membrane protein) - Nicotiana tabacum (Common tobacco) & (at3g50820 : 486.0) Encodes a protein which is an extrinsic subunit of photosystem II and which has been proposed to play a central role in stabilization of the catalytic manganese cluster. In <i>Arabidopsis thaliana</i> the PsbO proteins are encoded by two genes: <i>psbO1</i> and <i>psbO2</i>. PsbO2 is the minor isoform in the wild-type. Mutants defective in this gene have been shown to be affected in the dephosphorylation of the D1 protein of PSII.; photosystem II subunit O-2 (PSBO2); FUNCTIONS IN: oxygen evolving activity, poly(U) RNA binding; INVOLVED IN: photosynthesis, light reaction, photoinhibition, photosystem II assembly, photosystem II stabilization, regulation of protein amino acid dephosphorylation; LOCATED IN: in 9 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II manganese-stabilising protein PsbO (InterPro:IPR002628); BEST Arabidopsis thaliana protein match is: PS II oxygen-evolving complex 1 (TAIR:AT5G66570.1); Has 534 Blast hits to 532 proteins in 148 species: Archae - 0; Bacteria - 144; Metazoa - 1; Fungi - 0; Plants - 207; Viruses - 0; Other Eukaryotes - 182 (source: NCBI BLink). & (gnl|cdd|65505 : 334.0) no description available & (ipr002628 : 253.31482) Photosystem II PsbO, manganese-stabilising & (reliability: 1415.3009) &  (original description: pacid=32064781 transcript=Eucgr.I01025.1 locus=Eucgr.I01025 ID=Eucgr.I01025.1.v2.0 annot-version=v2.0)'",T
