BINCODE,NAME,IDENTIFIER,DESCRIPTION,TYPE
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II','eucgr.i02677.1.p',"'(at1g15820 : 364.0) Lhcb6 protein (Lhcb6), light harvesting complex of photosystem II.; light harvesting complex photosystem II subunit 6 (LHCB6); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, nonphotochemical quenching; LOCATED IN: in 7 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: photosystem I light harvesting complex gene 6 (TAIR:AT1G19150.1); Has 2316 Blast hits to 2191 proteins in 220 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 1959; Viruses - 0; Other Eukaryotes - 355 (source: NCBI BLink). & (p36494|cb4_spiol : 345.0) Chlorophyll a-b binding protein CP24, chloroplast precursor - Spinacia oleracea (Spinach) & (gnl|cdd|84819 : 150.0) no description available & (ipr022796 : 105.33113) Chlorophyll A-B binding protein & (reliability: 728.0) &  (original description: no original description)'",T
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II','eucgr.k02983.1.p',"'(at5g01530 : 453.0) light harvesting complex photosystem II (LHCB4.1); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: response to blue light, response to red light, response to far red light, photosynthesis; LOCATED IN: in 6 components; EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: light harvesting complex photosystem II (TAIR:AT3G08940.2); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). & (q93wd2|cb29_chlre : 246.0) Chlorophyll a-b binding protein CP29 - Chlamydomonas reinhardtii & (gnl|cdd|84819 : 167.0) no description available & (ipr022796 : 113.38879) Chlorophyll A-B binding protein & (reliability: 906.0) &  (original description: no original description)'",T
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II','eucgr.g00777.1.p',"'(at1g15820 : 363.0) Lhcb6 protein (Lhcb6), light harvesting complex of photosystem II.; light harvesting complex photosystem II subunit 6 (LHCB6); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, nonphotochemical quenching; LOCATED IN: in 7 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: photosystem I light harvesting complex gene 6 (TAIR:AT1G19150.1); Has 2316 Blast hits to 2191 proteins in 220 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 1959; Viruses - 0; Other Eukaryotes - 355 (source: NCBI BLink). & (p36494|cb4_spiol : 350.0) Chlorophyll a-b binding protein CP24, chloroplast precursor - Spinacia oleracea (Spinach) & (gnl|cdd|84819 : 150.0) no description available & (ipr022796 : 103.87769) Chlorophyll A-B binding protein & (reliability: 726.0) &  (original description: no original description)'",T
_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II','eucgr.g03060.1.p',"'(at2g40100 : 414.0) Lhcb4:3 protein (Lhcb4.3, light harvesting complex of photosystem II; light harvesting complex photosystem II (LHCB4.3); CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: light harvesting complex photosystem II (TAIR:AT3G08940.2). & (q93wd2|cb29_chlre : 249.0) Chlorophyll a-b binding protein CP29 - Chlamydomonas reinhardtii & (gnl|cdd|84819 : 152.0) no description available & (ipr022796 : 107.63371) Chlorophyll A-B binding protein & (reliability: 828.0) &  (original description: no original description)'",T
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits','eucgr.h02106.1.p',"'(at2g28605 : 188.0) Encodes a PsbP domain-OEC23 like protein localized in thylakoid (peripheral-lumenal side).; Photosystem II reaction center PsbP family protein; FUNCTIONS IN: calcium ion binding; INVOLVED IN: photosynthesis; LOCATED IN: thylakoid, chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II oxygen evolving complex protein PsbP (InterPro:IPR002683), Mog1/PsbP/DUF1795, alpha/beta/alpha sandwich (InterPro:IPR016124), Mog1/PsbP, alpha/beta/alpha sandwich (InterPro:IPR016123); Has 131 Blast hits to 131 proteins in 58 species: Archae - 0; Bacteria - 54; Metazoa - 0; Fungi - 0; Plants - 71; Viruses - 0; Other Eukaryotes - 6 (source: NCBI BLink). & (reliability: 376.0) &  (original description: no original description)'",T
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits','eucgr.h01287.4.p',"'(at4g15510 : 298.0) Photosystem II reaction center PsbP family protein; FUNCTIONS IN: calcium ion binding; INVOLVED IN: photosynthesis; LOCATED IN: in 6 components; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II oxygen evolving complex protein PsbP (InterPro:IPR002683), Mog1/PsbP/DUF1795, alpha/beta/alpha sandwich (InterPro:IPR016124), Mog1/PsbP, alpha/beta/alpha sandwich (InterPro:IPR016123); BEST Arabidopsis thaliana protein match is: PsbP-like protein 1 (TAIR:AT3G55330.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). & (gnl|cdd|85679 : 165.0) no description available & (ipr002683 : 123.24098) Photosystem II PsbP, oxygen evolving complex & (reliability: 811.67175) &  (original description: no original description)'",T
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits','eucgr.l02492.1.p',"'(at1g05385 : 191.0) Encodes a Psb27 homolog involved in photosystem II biogenesis.; LOW PSII ACCUMULATION 19 (LPA19); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosystem II assembly; LOCATED IN: chloroplast thylakoid lumen, chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 214 Blast hits to 214 proteins in 55 species: Archae - 0; Bacteria - 73; Metazoa - 0; Fungi - 0; Plants - 72; Viruses - 0; Other Eukaryotes - 69 (source: NCBI BLink). & (reliability: 382.0) &  (original description: no original description)'",T
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits','eucgr.a02039.1.p',"'(p18212|psbp2_tobac : 375.0) Oxygen-evolving enhancer protein 2-2, chloroplast precursor (OEE2) (23 kDa subunit of oxygen evolving system of photosystem II) (OEC 23 kDa subunit) (23 kDa thylakoid membrane protein) - Nicotiana tabacum (Common tobacco) & (at1g06680 : 354.0) Encodes a 23 kD extrinsic protein that is part of photosystem II and participates in the regulation of oxygen evolution.; photosystem II subunit P-1 (PSBP-1); FUNCTIONS IN: poly(U) RNA binding; INVOLVED IN: photosynthesis, light reaction, defense response to bacterium, response to light intensity; LOCATED IN: in 9 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II oxygen evolving complex protein PsbP (InterPro:IPR002683), Mog1/PsbP/DUF1795, alpha/beta/alpha sandwich (InterPro:IPR016124), Mog1/PsbP, alpha/beta/alpha sandwich (InterPro:IPR016123); BEST Arabidopsis thaliana protein match is: photosystem II subunit P-2 (TAIR:AT2G30790.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). & (gnl|cdd|85679 : 282.0) no description available & (ipr002683 : 119.26442) Photosystem II PsbP, oxygen evolving complex & (reliability: 916.71277) &  (original description: no original description)'",T
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits','eucgr.d00854.1.p',"'(gnl|cdd|69290 : 244.0) no description available & (at4g05180 : 233.0) Encodes the PsbQ subunit of the oxygen evolving complex of photosystem II.; photosystem II subunit Q-2 (PSBQ-2); FUNCTIONS IN: calcium ion binding; INVOLVED IN: peptidyl-cysteine S-nitrosylation; LOCATED IN: in 9 components; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II oxygen evolving complex protein PsbQ (InterPro:IPR008797); BEST Arabidopsis thaliana protein match is: photosystem II subunit QA (TAIR:AT4G21280.1); Has 206 Blast hits to 206 proteins in 40 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 200; Viruses - 0; Other Eukaryotes - 6 (source: NCBI BLink). & (p12301|psbq_spiol : 228.0) Oxygen-evolving enhancer protein 3, chloroplast precursor (OEE3) (16 kDa subunit of oxygen evolving system of photosystem II) (OEC 16 kDa subunit) - Spinacia oleracea (Spinach) & (ipr008797 : 195.7923) Photosystem II PsbQ, oxygen evolving complex & (reliability: 808.63654) &  (original description: no original description)'",T
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits','eucgr.f03789.1.p',"'(q02060|psbs_spiol : 285.0) Photosystem II 22 kDa protein, chloroplast precursor (CP22) - Spinacia oleracea (Spinach) & (at1g44575 : 275.0) Encoding PSII-S (CP22), a ubiquitous pigment-binding protein associated with photosystem II (PSII) of higher plants. Involved in nonphotochemical quenching rather than in photosynthesis. Mutant has a normal violaxanthin cycle but has a limited capacity of quenching singlet excited chlorophylls and is tolerant to lipid peroxidation.; NONPHOTOCHEMICAL QUENCHING 4 (NPQ4); FUNCTIONS IN: chlorophyll binding, xanthophyll binding; INVOLVED IN: response to karrikin, nonphotochemical quenching; LOCATED IN: chloroplast thylakoid membrane, chloroplast, PSII associated light-harvesting complex II, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). & (reliability: 550.0) &  (original description: no original description)'",T
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits','eucgr.f02746.1.p',"'(at1g77090 : 355.0) Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein; FUNCTIONS IN: calcium ion binding; INVOLVED IN: photosynthesis; LOCATED IN: thylakoid, thylakoid lumen, chloroplast thylakoid lumen, chloroplast stroma, chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II oxygen evolving complex protein PsbP (InterPro:IPR002683), Mog1/PsbP/DUF1795, alpha/beta/alpha sandwich (InterPro:IPR016124), Mog1/PsbP, alpha/beta/alpha sandwich (InterPro:IPR016123); BEST Arabidopsis thaliana protein match is: Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein (TAIR:AT3G56650.1); Has 207 Blast hits to 207 proteins in 35 species: Archae - 0; Bacteria - 22; Metazoa - 0; Fungi - 0; Plants - 130; Viruses - 0; Other Eukaryotes - 55 (source: NCBI BLink). & (reliability: 710.0) &  (original description: no original description)'",T
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits','eucgr.f00997.1.p',"'(at3g01440 : 225.0) Encodes a subunit of the NAD(P)H complex located in the chloroplast thylakoid lumen.; PsbQ-like 1 (PQL1); FUNCTIONS IN: electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity; INVOLVED IN: photosynthesis, light reaction, photosynthetic electron transport chain; LOCATED IN: in 7 components; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II oxygen evolving complex protein PsbQ (InterPro:IPR008797); BEST Arabidopsis thaliana protein match is: photosystem II subunit QA (TAIR:AT4G21280.1); Has 165 Blast hits to 165 proteins in 26 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 165; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). & (gnl|cdd|69290 : 163.0) no description available & (ipr008797 : 108.43222) Photosystem II PsbQ, oxygen evolving complex & (reliability: 639.75635) &  (original description: no original description)'",T
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits','eucgr.f01447.2.p',"'(p06183|psbr_soltu : 151.0) Photosystem II 10 kDa polypeptide, chloroplast precursor (Light-inducible tissue-specific ST-LS1 protein) - Solanum tuberosum (Potato) & (at1g79040 : 144.0) Encodes for the 10 kDa PsbR subunit of photosystem II (PSII). This subunit appears to be involved in the stable assembly of PSII, particularly that of the oxygen-evolving complex subunit PsbP. Mutants defective in this gene have reduced amounts of subunits PsbP and PsbQ in PSII. In turn, assembly of PsbR is dependent on the presence of PsbJ.; photosystem II subunit R (PSBR); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosystem II oxygen evolving complex assembly, photosynthesis, response to light intensity; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast, photosystem II; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbR (InterPro:IPR006814); Has 134 Blast hits to 134 proteins in 52 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 129; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink). & (gnl|cdd|68303 : 140.0) no description available & (ipr006814 : 108.87543) Photosystem II PsbR & (reliability: 478.53198) &  (original description: no original description)'",T
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits','eucgr.f03186.6.p',"'(p06183|psbr_soltu : 167.0) Photosystem II 10 kDa polypeptide, chloroplast precursor (Light-inducible tissue-specific ST-LS1 protein) - Solanum tuberosum (Potato) & (at1g79040 : 157.0) Encodes for the 10 kDa PsbR subunit of photosystem II (PSII). This subunit appears to be involved in the stable assembly of PSII, particularly that of the oxygen-evolving complex subunit PsbP. Mutants defective in this gene have reduced amounts of subunits PsbP and PsbQ in PSII. In turn, assembly of PsbR is dependent on the presence of PsbJ.; photosystem II subunit R (PSBR); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosystem II oxygen evolving complex assembly, photosynthesis, response to light intensity; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast, photosystem II; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbR (InterPro:IPR006814); Has 134 Blast hits to 134 proteins in 52 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 129; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink). & (gnl|cdd|68303 : 136.0) no description available & (ipr006814 : 112.73136) Photosystem II PsbR & (reliability: 511.27988) &  (original description: no original description)'",T
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits','eucgr.f01822.1.p',"'(at1g76450 : 271.0) Photosystem II reaction center PsbP family protein; FUNCTIONS IN: calcium ion binding; INVOLVED IN: photosynthesis; LOCATED IN: thylakoid, thylakoid lumen, chloroplast thylakoid membrane, chloroplast thylakoid lumen, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II oxygen evolving complex protein PsbP (InterPro:IPR002683), Mog1/PsbP/DUF1795, alpha/beta/alpha sandwich (InterPro:IPR016124); Has 57 Blast hits to 57 proteins in 26 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 51; Viruses - 0; Other Eukaryotes - 6 (source: NCBI BLink). & (reliability: 542.0) &  (original description: no original description)'",T
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits','eucgr.i01025.1.p',"'(q40459|psbo_tobac : 514.0) Oxygen-evolving enhancer protein 1, chloroplast precursor (OEE1) (33 kDa subunit of oxygen evolving system of photosystem II) (OEC 33 kDa subunit) (33 kDa thylakoid membrane protein) - Nicotiana tabacum (Common tobacco) & (at3g50820 : 486.0) Encodes a protein which is an extrinsic subunit of photosystem II and which has been proposed to play a central role in stabilization of the catalytic manganese cluster. In <i>Arabidopsis thaliana</i> the PsbO proteins are encoded by two genes: <i>psbO1</i> and <i>psbO2</i>. PsbO2 is the minor isoform in the wild-type. Mutants defective in this gene have been shown to be affected in the dephosphorylation of the D1 protein of PSII.; photosystem II subunit O-2 (PSBO2); FUNCTIONS IN: oxygen evolving activity, poly(U) RNA binding; INVOLVED IN: photosynthesis, light reaction, photoinhibition, photosystem II assembly, photosystem II stabilization, regulation of protein amino acid dephosphorylation; LOCATED IN: in 9 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II manganese-stabilising protein PsbO (InterPro:IPR002628); BEST Arabidopsis thaliana protein match is: PS II oxygen-evolving complex 1 (TAIR:AT5G66570.1); Has 534 Blast hits to 532 proteins in 148 species: Archae - 0; Bacteria - 144; Metazoa - 1; Fungi - 0; Plants - 207; Viruses - 0; Other Eukaryotes - 182 (source: NCBI BLink). & (gnl|cdd|65505 : 334.0) no description available & (ipr002628 : 253.31482) Photosystem II PsbO, manganese-stabilising & (reliability: 1415.3009) &  (original description: no original description)'",T
_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits','eucgr.i01025.2.p',"'(q40459|psbo_tobac : 396.0) Oxygen-evolving enhancer protein 1, chloroplast precursor (OEE1) (33 kDa subunit of oxygen evolving system of photosystem II) (OEC 33 kDa subunit) (33 kDa thylakoid membrane protein) - Nicotiana tabacum (Common tobacco) & (at3g50820 : 375.0) Encodes a protein which is an extrinsic subunit of photosystem II and which has been proposed to play a central role in stabilization of the catalytic manganese cluster. In <i>Arabidopsis thaliana</i> the PsbO proteins are encoded by two genes: <i>psbO1</i> and <i>psbO2</i>. PsbO2 is the minor isoform in the wild-type. Mutants defective in this gene have been shown to be affected in the dephosphorylation of the D1 protein of PSII.; photosystem II subunit O-2 (PSBO2); FUNCTIONS IN: oxygen evolving activity, poly(U) RNA binding; INVOLVED IN: photosynthesis, light reaction, photoinhibition, photosystem II assembly, photosystem II stabilization, regulation of protein amino acid dephosphorylation; LOCATED IN: in 9 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II manganese-stabilising protein PsbO (InterPro:IPR002628); BEST Arabidopsis thaliana protein match is: PS II oxygen-evolving complex 1 (TAIR:AT5G66570.1); Has 534 Blast hits to 532 proteins in 148 species: Archae - 0; Bacteria - 144; Metazoa - 1; Fungi - 0; Plants - 207; Viruses - 0; Other Eukaryotes - 182 (source: NCBI BLink). & (gnl|cdd|65505 : 285.0) no description available & (ipr002628 : 117.43184) Photosystem II PsbO, manganese-stabilising & (reliability: 955.50574) &  (original description: no original description)'",T
