BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
'1.1.1.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex'	''	''	
'1.1.1.2.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex'	''	''	
'1.1.1.2.1.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.D1 component PsbA'	'tr|t1ql58|t1ql58_eucgl'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.D1 component PsbA (original description: none)'	T
'1.1.1.2.1.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.D2 component PsbD'	'tr|t1ql72|t1ql72_eucgl'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.D2 component PsbD (original description: none)'	T
'1.1.1.2.1.3'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.CP47 component PsbB'	'tr|t1qkk1|t1qkk1_eucgl'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.CP47 component PsbB (original description: none)'	T
'1.1.1.2.1.4'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.CP43 component PsbC'	'tr|t1qke2|t1qke2_eucgl'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.CP43 component PsbC (original description: none)'	T
'1.1.1.2.1.5'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.cytochrome b559 heterodimer'	''	''	
'1.1.1.2.1.5.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.cytochrome b559 heterodimer.alpha component PsbE'	'tr|t1qkh5|t1qkh5_eucgl'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.cytochrome b559 heterodimer.alpha component PsbE (original description: none)'	T
'1.1.1.2.1.5.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.cytochrome b559 heterodimer.beta component PsbF'	''	''	
'1.1.1.2.1.6'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.component PsbI'	''	''	
'1.1.1.2.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins'	''	''	
'1.1.1.2.2.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.OEC33 component PsbO'	'eucgr.i01025.1.p'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.OEC33 component PsbO (original description: none)'	T
'1.1.1.2.2.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.OEC33 component PsbO'	'eucgr.i01025.2.p'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.OEC33 component PsbO (original description: none)'	T
'1.1.1.2.2.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Viridiplantae-specific components'	''	''	
'1.1.1.2.2.2.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Viridiplantae-specific components.OEC23 component PsbP'	'eucgr.a02039.1.p'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Viridiplantae-specific components.OEC23 component PsbP (original description: none)'	T
'1.1.1.2.2.2.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Viridiplantae-specific components.OEC16 component PsbQ'	'eucgr.d00854.1.p'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Viridiplantae-specific components.OEC16 component PsbQ (original description: none)'	T
'1.1.1.2.2.3'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components'	''	''	
'1.1.1.2.2.3.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components.component PsbU'	''	''	
'1.1.1.2.2.3.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components.component PsbV'	''	''	
'1.1.1.2.2.3.3'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components.component PsbQ*'	''	''	
'1.1.1.2.3'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbH'	'tr|t1qlg8|t1qlg8_eucgl'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbH (original description: none)'	T
'1.1.1.2.4'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbJ'	''	''	
'1.1.1.2.5'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbK'	''	''	
'1.1.1.2.6'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbL'	''	''	
'1.1.1.2.7'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbM'	''	''	
'1.1.1.2.8'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbN'	''	''	
'1.1.1.2.9'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbR'	'eucgr.f01447.2.p'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbR (original description: none)'	T
'1.1.1.2.9'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbR'	'eucgr.f03186.6.p'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbR (original description: none)'	T
'1.1.1.2.10'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbS'	'eucgr.f03789.1.p'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbS (original description: none)'	T
'1.1.1.2.11'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbTc'	''	''	
'1.1.1.2.12'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbTn'	''	''	
'1.1.1.2.13'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbW'	''	''	
'1.1.1.2.14'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbX'	''	''	
'1.1.1.2.15'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbY'	''	''	
'1.1.1.2.16'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbZ'	''	''	
'1.1.1.3'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance'	''	''	
'1.1.1.3.1'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA1 protein'	'eucgr.h01162.2.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA1 protein (original description: none)'	T
'1.1.1.3.2'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA2 protein'	''	''	
'1.1.1.3.3'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA3 protein'	'eucgr.f03965.2.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA3 protein (original description: none)'	T
'1.1.1.3.4'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF106 protein'	''	''	
'1.1.1.3.5'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF136 protein'	'eucgr.j00865.1.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF136 protein (original description: none)'	T
'1.1.1.3.6'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF243 protein'	''	''	
'1.1.1.3.7'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF244 protein'	'eucgr.g01834.1.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF244 protein (original description: none)'	T
'1.1.1.3.8'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF173 protein'	'eucgr.f04061.1.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF173 protein (original description: none)'	T
'1.1.1.3.9'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb27 protein'	'eucgr.k00947.1.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb27 protein (original description: none)'	T
'1.1.1.3.10'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb28 protein'	'eucgr.k01424.1.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb28 protein (original description: none)'	T
'1.1.1.3.11'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb29 protein'	'eucgr.a01774.1.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb29 protein (original description: none)'	T
'1.1.1.3.12'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb30 protein'	''	''	
'1.1.1.3.13'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb32 protein'	'eucgr.h04456.1.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb32 protein (original description: none)'	T
'1.1.1.3.14'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb33 protein'	'eucgr.f02968.1.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb33 protein (original description: none)'	T
'1.1.1.3.15'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.PAM68 protein'	''	''	
'1.1.1.3.16'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.RBD1 protein'	''	''	
'1.1.1.3.17'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.MET1 protein'	'eucgr.j01758.1.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.MET1 protein (original description: none)'	T
'1.1.1.3.18'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.PPL1 protein'	'eucgr.g02904.1.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.PPL1 protein (original description: none)'	T
'1.1.1.3.19'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.SCO2 protein'	''	''	
'1.1.1.3.20'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.TerC protein'	''	''	
'1.1.1.3.21'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.CYP38 protein'	'eucgr.i01816.1.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.CYP38 protein (original description: none)'	T
'1.1.1.3.22'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LQY1 protein'	'eucgr.f00601.3.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LQY1 protein (original description: none)'	T
'1.1.1.3.23'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HHL1 protein'	'eucgr.h04690.1.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HHL1 protein (original description: none)'	T
'1.1.1.3.24'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LTO1 protein'	''	''	
'1.1.1.3.25'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photosynthetic acclimation'	''	''	
'1.1.1.3.25.1'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photosynthetic acclimation.phosphorylation/dephosphorylation'	''	''	
'1.1.1.3.25.1.1'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photosynthetic acclimation.phosphorylation/dephosphorylation.STN7 kinase'	'eucgr.g02347.2.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photosynthetic acclimation.phosphorylation/dephosphorylation.STN7 kinase (original description: none)'	T
'1.1.1.3.25.1.2'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photosynthetic acclimation.phosphorylation/dephosphorylation.STN8 kinase'	''	''	
'1.1.1.3.25.1.3'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photosynthetic acclimation.phosphorylation/dephosphorylation.PPH1/TAP38 phosphatase'	''	''	
'1.1.1.3.25.1.4'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photosynthetic acclimation.phosphorylation/dephosphorylation.PBCP phosphatase'	''	''	
'1.1.1.3.26'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection'	''	''	
'1.1.1.3.26.1'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.one-helix LHC-related protein group'	''	''	
'1.1.1.3.26.1.1'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.one-helix LHC-related protein group.OHP1 protein'	''	''	
'1.1.1.3.26.1.2'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.one-helix LHC-related protein group.OHP2 protein'	''	''	
'1.1.1.3.26.2'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.two-helix LHC-related protein group'	''	''	
'1.1.1.3.26.2.1'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.two-helix LHC-related protein group.SEP1 protein'	''	''	
'1.1.1.3.26.2.2'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.two-helix LHC-related protein group.SEP2 protein'	''	''	
'1.1.1.3.26.2.3'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.two-helix LHC-related protein group.SEP3 protein'	'eucgr.e00355.1.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.two-helix LHC-related protein group.SEP3 protein (original description: none)'	T
'1.1.1.3.26.2.4'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.two-helix LHC-related protein group.SEP4 protein'	''	''	
'1.1.1.3.26.2.5'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.two-helix LHC-related protein group.SEP5 protein'	''	''	
'1.1.1.3.26.3'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.three-helix LHC-related protein group'	''	''	
'1.1.1.3.26.3.1'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.three-helix LHC-related protein group.ELIP protein'	'eucgr.b01008.8.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.three-helix LHC-related protein group.ELIP protein (original description: none)'	T
'1.1.1.3.26.3.1'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.three-helix LHC-related protein group.ELIP protein'	'eucgr.b01007.1.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.three-helix LHC-related protein group.ELIP protein (original description: none)'	T
'1.1.1.3.26.3.1'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.three-helix LHC-related protein group.ELIP protein'	'eucgr.b01896.3.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.three-helix LHC-related protein group.ELIP protein (original description: none)'	T
'1.1.1.3.26.4'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.xanthophyll cycle'	''	''	
'1.1.1.3.26.4.1'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.xanthophyll cycle.violaxanthin de-epoxidase'	'eucgr.b02180.2.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.xanthophyll cycle.violaxanthin de-epoxidase (original description: none)'	T
'1.1.1.3.26.4.2'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.xanthophyll cycle.zeaxanthin epoxidase'	'eucgr.i00922.1.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.xanthophyll cycle.zeaxanthin epoxidase (original description: none)'	T
'1.1.1.3.26.5'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.MPH1 protein'	'eucgr.g03205.2.p'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.MPH1 protein (original description: none)'	T
'1.1.1.3.26.6'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.photoprotection.LHCSR protein'	''	''	
'1.1.2'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex'	''	''	
'1.1.2.1'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.apocytochrome f component PetA'	'tr|t1qkm1|t1qkm1_eucgl'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.apocytochrome f component PetA (original description: none)'	T
'1.1.2.2'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.apocytochrome b component PetB'	'tr|t1qld1|t1qld1_eucgl'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.apocytochrome b component PetB (original description: none)'	T
'1.1.2.3'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.Rieske iron-sulfur component PetC'	'eucgr.a01769.1.p'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.Rieske iron-sulfur component PetC (original description: none)'	T
'1.1.2.3'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.Rieske iron-sulfur component PetC'	'eucgr.f01067.3.p'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.Rieske iron-sulfur component PetC (original description: none)'	T
'1.1.2.4'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.component PetD/IV'	''	''	
'1.1.2.5'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.component PetG/V'	''	''	
'1.1.2.6'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.component PetL/VI'	''	''	
'1.1.2.7'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.component PetM/VII'	''	''	
'1.1.2.8'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.component PetN'	''	''	
'1.1.2.9'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly'	''	''	
'1.1.2.9.1'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.CCB cytochrome b6 maturation system (system IV)'	''	''	
'1.1.2.9.1.1'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.CCB cytochrome b6 maturation system (system IV).CCB1 component'	'eucgr.i01598.1.p'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.CCB cytochrome b6 maturation system (system IV).CCB1 component (original description: none)'	T
'1.1.2.9.1.2'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.CCB cytochrome b6 maturation system (system IV).CCB2 component'	''	''	
'1.1.2.9.1.3'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.CCB cytochrome b6 maturation system (system IV).CCB3 component'	''	''	
'1.1.2.9.1.4'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.CCB cytochrome b6 maturation system (system IV).CCB4 component'	''	''	
'1.1.2.9.2'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.CCS cytochrome f/c6 maturation system (system II)'	''	''	
'1.1.2.9.2.1'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.CCS cytochrome f/c6 maturation system (system II).CcsA component'	''	''	
'1.1.2.9.2.2'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.CCS cytochrome f/c6 maturation system (system II).CcsB component'	''	''	
'1.1.2.9.2.3'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.CCS cytochrome f/c6 maturation system (system II).CcdA component'	''	''	
'1.1.2.9.3'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.HCF153 factor'	''	''	
'1.1.2.9.4'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.HCF222 factor'	''	''	
'1.1.2.9.5'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.HCF164 thioredoxin-like factor'	'eucgr.h01941.2.p'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.HCF164 thioredoxin-like factor (original description: none)'	T
'1.1.2.9.6'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.DAC factor'	'eucgr.k02276.3.p'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.DAC factor (original description: none)'	T
'1.1.3'	'Photosynthesis.photophosphorylation.Cytb6/f to PS-I electron carriers'	''	''	
'1.1.3.1'	'Photosynthesis.photophosphorylation.Cytb6/f to PS-I electron carriers.plastocyanin'	''	''	
'1.1.3.2'	'Photosynthesis.photophosphorylation.Cytb6/f to PS-I electron carriers.cytochrome c6'	''	''	
'1.1.4'	'Photosynthesis.photophosphorylation.photosystem I'	''	''	
'1.1.4.1'	'Photosynthesis.photophosphorylation.photosystem I.LHC-I complex'	''	''	
'1.1.4.1.1'	'Photosynthesis.photophosphorylation.photosystem I.LHC-I complex.LHCa1-type component'	'eucgr.j01096.1.p'	'Photosynthesis.photophosphorylation.photosystem I.LHC-I complex.LHCa1-type component (original description: none)'	T
'1.1.4.1.2'	'Photosynthesis.photophosphorylation.photosystem I.LHC-I complex.LHCa2-type component'	'eucgr.b03494.1.p'	'Photosynthesis.photophosphorylation.photosystem I.LHC-I complex.LHCa2-type component (original description: none)'	T
'1.1.4.1.3'	'Photosynthesis.photophosphorylation.photosystem I.LHC-I complex.LHCa3-type component'	'eucgr.k01362.1.p'	'Photosynthesis.photophosphorylation.photosystem I.LHC-I complex.LHCa3-type component (original description: none)'	T
'1.1.4.1.4'	'Photosynthesis.photophosphorylation.photosystem I.LHC-I complex.LHCa4-type component'	'eucgr.b00523.1.p'	'Photosynthesis.photophosphorylation.photosystem I.LHC-I complex.LHCa4-type component (original description: none)'	T
'1.1.4.1.5'	'Photosynthesis.photophosphorylation.photosystem I.LHC-I complex.LHCa5-type component'	'eucgr.f00228.1.p'	'Photosynthesis.photophosphorylation.photosystem I.LHC-I complex.LHCa5-type component (original description: none)'	T
'1.1.4.1.6'	'Photosynthesis.photophosphorylation.photosystem I.LHC-I complex.LHCa6-type component'	'eucgr.c03307.1.p'	'Photosynthesis.photophosphorylation.photosystem I.LHC-I complex.LHCa6-type component (original description: none)'	T
'1.1.4.2'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex'	''	''	
'1.1.4.2.1'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.apoprotein PsaA'	'tr|t1ql77|t1ql77_eucgl'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.apoprotein PsaA (original description: none)'	T
'1.1.4.2.2'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.apoprotein PsaB'	'tr|t1qlb6|t1qlb6_eucgl'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.apoprotein PsaB (original description: none)'	T
'1.1.4.2.3'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaC'	'tr|t1qkm2|t1qkm2_eucgl'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaC (original description: none)'	T
'1.1.4.2.4'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaD'	'eucgr.b01088.1.p'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaD (original description: none)'	T
'1.1.4.2.5'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaE'	'eucgr.h00828.1.p'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaE (original description: none)'	T
'1.1.4.2.5'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaE'	'eucgr.b02162.1.p'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaE (original description: none)'	T
'1.1.4.2.6'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaF'	'eucgr.k00389.1.p'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaF (original description: none)'	T
'1.1.4.2.7'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaG'	'eucgr.f03646.1.p'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaG (original description: none)'	T
'1.1.4.2.8'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaH'	'eucgr.j02958.2.p'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaH (original description: none)'	T
'1.1.4.2.8'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaH'	'eucgr.f03038.1.p'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaH (original description: none)'	T
'1.1.4.2.9'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaI'	''	''	
'1.1.4.2.10'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaJ'	''	''	
'1.1.4.2.11'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaK'	'eucgr.d00234.3.p'	'Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component PsaK (original description: none)'	T
